Age,Male,Female,Total
0,"552,508","552,528","1,105,074"
1,"580,856","573,920","1,154,805"
2,"614,005","610,705","1,224,743"
3,"619,989","621,941","1,241,956"
4,"638,986","627,675","1,266,689"
5,"626,157","610,459","1,236,656"
6,"635,924","635,942","1,271,896"
7,"609,615","601,301","1,210,940"
8,"618,618","616,833","1,235,497"
9,"626,637","620,981","1,247,654"
10,"700,526","678,721","1,379,280"
11,"573,757","591,394","1,165,184"
12,"686,954","648,485","1,335,475"
13,"635,152","628,630","1,263,811"
14,"613,371","588,912","1,202,322"
15,"611,376","583,931","1,195,341"
16,"553,944","541,378","1,095,353"
17,"561,688","528,796","1,090,511"
18,"475,670","457,032","932,726"
19,"483,586","488,305","971,926"
20,"486,633","523,210","1,009,889"
21,"406,910","444,707","851,661"
22,"406,099","455,328","861,461"
23,"420,329","477,116","897,488"
24,"392,719","434,417","827,175"
25,"454,278","485,467","939,796"
26,"358,506","404,246","762,779"
27,"373,128","403,578","776,735"
28,"318,319","353,653","671,991"
29,"335,312","367,915","703,254"
30,"449,798","497,944","947,801"
31,"296,545","324,359","620,933"
32,"369,586","407,999","777,609"
33,"302,318","340,100","642,436"
34,"280,431","301,485","581,940"
35,"382,439","379,319","761,783"
36,"256,797","251,332","508,150"
37,"262,021","241,630","503,671"
38,"211,212","206,305","417,533"
39,"235,726","223,242","458,979"
40,"310,926","285,821","596,767"
41,"249,854","235,257","485,127"
42,"233,583","220,164","453,757"
43,"199,253","199,791","399,055"
44,"163,538","160,981","324,525"
45,"266,741","247,573","514,329"
46,"178,394","172,948","351,353"
47,"185,808","176,586","362,405"
48,"132,797","125,840","258,648"
49,"152,594","146,924","299,521"
50,"195,078","194,961","390,063"
51,"135,462","132,506","267,975"
52,"124,802","118,504","243,311"
53,"94,804","94,023","188,829"
54,"112,835","105,591","218,432"
55,"121,805","111,997","233,808"
56,"120,876","120,548","241,430"
57,"107,486","126,164","233,653"
58,"91,116","98,592","189,712"
59,"105,680","113,804","219,491"
60,"128,256","140,094","268,363"
61,"88,589","95,821","184,412"
62,"75,398","76,113","151,515"
63,"72,341","79,285","151,632"
64,"54,857","59,240","114,100"
65,"82,916","93,842","176,763"
66,"51,177","55,000","106,179"
67,"79,991","87,492","167,486"
68,"38,762","40,820","79,584"
69,"58,499","69,664","128,166"
70,"76,946","101,211","178,163"
71,"49,719","56,193","105,917"
72,"41,945","41,403","83,349"
73,"34,684","38,090","72,775"
74,"32,680","41,651","74,335"
75,"30,747","40,719","71,469"
76,"24,647","35,303","59,950"
77,"25,742","33,045","58,790"
78,"16,805","18,495","35,300"
79,"21,354","36,258","57,613"
80,"28,032","46,137","74,169"
81,"14,572","21,948","36,522"
82,"13,255","14,923","28,178"
83,"14,465","18,244","32,709"
84,"12,609","19,709","32,319"
85,"11,334","17,469","28,804"
86,"8,170","10,771","18,941"
87,"9,793","13,991","23,784"
88,"5,071","6,572","11,644"
89,"9,584","20,851","30,437"
90,"6,646","13,876","20,526"
91,"4,885","8,801","13,686"
92,"3,062","4,537","7,599"
93,"2,434","4,167","6,601"
94,"2,201","4,488","6,689"
95,"3,347","6,046","9,393"
96,"1,467","2,631","4,098"
97,"1,963","2,799","4,762"
98,"1,137","2,026","3,163"
99,"1,856","4,734","6,590"
100,"3,876","10,164","14,040"
