"","County","SubCounty","AdminArea","ConventionalHouseholds","Earth/Sand","Dung","Woodplunks/Shingles/Timber","Palm/Bamboo","Parquet/PublishedWood","Vinyl/asphaltstrips","Ceramictiles","Concrete/Cement/Terrazo","WalltoWallCarpet","NotStated"
"1","xxx","KENYA","xxx",12043016,30,13.4,0.4,0.1,0.3,0.1,10.3,43.7,1.5,0
"2","xxx","RURAL","xxx",7379282,42.3,21.1,0.4,0.1,0.1,0.1,3.8,31.3,0.7,0
"3","xxx","URBAN","xxx",4663734,10.6,1.4,0.4,0,0.7,0.3,20.6,63.3,2.8,0
"4","MOMBASA","MOMBASA","County",376295,13.1,0.3,0.1,0,0.2,0.1,19.6,62.3,4.1,0
"5","MOMBASA","CHANGAMWE","SubCounty",46439,10.1,0.2,0.1,0,0,0.2,8.6,76.6,4.1,0
"6","MOMBASA","JOMVU","SubCounty",53214,18.8,0.8,0,0.1,0,0.3,10.5,64.7,4.7,0
"7","MOMBASA","KISAUNI","SubCounty",88159,18.7,0.4,0,0,0.3,0.2,22.3,54.5,3.6,0
"8","MOMBASA","LIKONI","SubCounty",80002,11.5,0.1,0.3,0,0.1,0.1,12,71.6,4.3,0
"9","MOMBASA","MVITA","SubCounty",38710,8.3,0.3,0.1,0,0.1,0.2,42,45.7,3.2,0.1
"10","MOMBASA","NYALI","SubCounty",69771,8.3,0.1,0.2,0,0.3,0.1,27,59.2,4.8,0
"11","KWALE","KWALE","County",172802,58.6,0.5,0,0,0.1,0,4.4,35.1,1.2,0
"12","KWALE","KINANGO","SubCounty",16041,83.7,0.2,0,0,0,0,1.4,14.2,0.4,0
"13","KWALE","LUNGALUNGA","SubCounty",37276,76.5,1,0.1,0,0.1,0.1,1.1,20.9,0.3,0
"14","KWALE","MATUGA","SubCounty",39124,54.9,0.2,0,NA,0.1,0,5,38.9,1,0
"15","KWALE","MSAMBWENI","SubCounty",45374,29.5,0.3,0,0,0,0,9.7,57.7,2.7,0
"16","KWALE","SAMBURU-KWALE","SubCounty",34987,70.1,0.5,0.1,0.2,0.1,0,2,26.1,0.8,0.1
"17","KILIFI","KILIFI","County",297990,54.3,0.3,0.1,0,0.1,0.1,5.6,38.3,1.1,0
"18","KILIFI","CHONYI","SubCounty",11416,86.6,0,0,NA,0.1,NA,0.3,12.8,0.1,NA
"19","KILIFI","GANZE","SubCounty",23197,86.9,0.3,0,0,0,0,0.5,12,0.1,0.1
"20","KILIFI","KALOLENI","SubCounty",36344,62.6,0.5,0,0,0.1,0,5,31.1,0.7,0
"21","KILIFI","KAUMA","SubCounty",3479,85.8,0.1,0.1,NA,NA,0,0.3,13.6,0.1,NA
"22","KILIFI","KILIFI NORTH","SubCounty",39508,43.5,0.5,0.3,0,0.1,0,7.6,46.8,1.1,0
"23","KILIFI","KILIFI SOUTH","SubCounty",53011,34.5,0.2,0.1,0.1,0.1,0,11.8,50.8,2.3,0
"24","KILIFI","MAGARINI","SubCounty",32978,78.2,0.2,0.1,0.1,0,0,1,19.8,0.6,0
"25","KILIFI","MALINDI","SubCounty",73317,40.7,0.1,0,0,0.2,0.1,6.1,51.4,1.3,0
"26","KILIFI","RABAI","SubCounty",24740,60.4,0.5,0,0,0,0.1,3.2,34.4,1.3,0
"27","TANA RIVER","TANA RIVER","County",66984,75.2,0.8,0.3,0.2,0.1,0.1,1.8,20.3,1.1,0.1
"28","TANA RIVER","TANA DELTA","SubCounty",22395,82,0.8,0.3,0,0,NA,1.4,15.1,0.3,0
"29","TANA RIVER","TANA NORTH","SubCounty",26119,69.1,0.9,0.4,0.4,0.2,0.3,1.3,25.6,1.7,0
"30","TANA RIVER","TANA RIVER","SubCounty",18470,75.7,0.8,0.2,0,0,0,2.9,19.2,1.1,0.1
"31","LAMU","LAMU","County",34231,51.3,0.7,0.1,0,0,0,4.7,40.3,2.9,0
"32","LAMU","LAMU EAST","SubCounty",4476,36.6,0.1,0,NA,NA,NA,4.7,54,4.7,NA
"33","LAMU","LAMU WEST","SubCounty",29755,53.5,0.8,0.1,0,0,0,4.7,38.2,2.6,0
"34","TAITA/TAVETA","TAITA/TAVETA","County",94468,38.8,0.2,0,0,0.1,0,6.8,53,1,0
"35","TAITA/TAVETA","MWATATE","SubCounty",23184,42.4,0.1,0,0,0,0,4.9,51.9,0.7,0
"36","TAITA/TAVETA","TAITA","SubCounty",14985,49.4,0.1,0.1,NA,0,0,5,44.8,0.6,0
"37","TAITA/TAVETA","TAVETA","SubCounty",23417,46.4,0.7,0.1,0,0.1,0.1,5.5,45.6,1.6,0
