"","County","SubCounty","AdminArea","ConventionalHouseholds","Cane/Palm/Trunks","Grass/Reeds","Mud/Cowdung","Stonewithmud","Coveredadobe","Uncoveredadobe","Plywood/Cardboard","Offcuts/ReusedWood/Woodplanks","Ironsheets","Concrete/Concreteblocks/Precastwall","Stonewithlime/Cement","Bricks","Canvas/Tents","Nylon/Cartons","Timber","PrefabricatedPanels","NotStated"
"1","xxx","KENYA","xxx",12043016,0.8,1.9,27.5,3.5,2.7,1,0.4,1.4,9.9,16.3,16.5,10.2,0.1,0.2,7.7,0,0
"2","xxx","RURAL","xxx",7379282,1.3,2.9,41.2,4.2,3,1.4,0.4,1.8,6.1,6.6,8.4,11.2,0.1,0.3,11.2,0,0
"3","xxx","URBAN","xxx",4663734,0.2,0.4,5.6,2.4,2.2,0.3,0.4,0.7,16,31.6,29.3,8.5,0,0.1,2.3,0,0
"4","MOMBASA","MOMBASA","County",376295,0,0,5,5.9,4.9,1.2,0.1,0.1,2.2,32.7,38.1,9.7,0,0.1,0,0.1,0
"5","MOMBASA","CHANGAMWE","SubCounty",46439,0,0,3.4,9.6,8,1.2,0,0.1,1.4,33.3,34.4,8.3,0,0,0,0,0
"6","MOMBASA","JOMVU","SubCounty",53214,0,0.1,14.3,10,2,0.6,0,0.1,1.4,30.7,30.1,10.5,0,0,0,0,0
"7","MOMBASA","KISAUNI","SubCounty",88159,0,0.1,6.2,4.8,5,1.7,0.1,0.1,4,31,34,12.7,0,0.2,0,0.2,0
"8","MOMBASA","LIKONI","SubCounty",80002,0,0,0.4,2.9,6.9,1.7,0.1,0.1,1.2,21.8,57.1,7.7,0,0,0,0,0
"9","MOMBASA","MVITA","SubCounty",38710,0,0,7,4.9,1.7,0.2,0.2,0.1,3.1,47.7,25.6,9.2,0,0,0.2,0,0.1
"10","MOMBASA","NYALI","SubCounty",69771,0,0,1.6,5.7,4.3,1,0.1,0.2,1.5,39.9,36.7,8.8,0,0,0,0.1,0
"11","KWALE","KWALE","County",172802,0.4,0.6,46.3,7.7,1.5,0.7,0,0.1,0.9,9.5,27.2,4.7,0,0.1,0.1,0,0
"12","KWALE","KINANGO","SubCounty",16041,0.1,0.8,67.3,11,0.7,0.1,0,0.1,0.4,4,14.4,1,0,0.1,0.1,NA,0
"13","KWALE","LUNGALUNGA","SubCounty",37276,0.7,0.7,64.3,8.5,2.1,1.1,0,0.2,0.8,6.9,10,4.4,0,0.2,0,0,0
"14","KWALE","MATUGA","SubCounty",39124,0.5,0.4,45.2,6.9,1.2,1,0,0.1,0.9,9.1,31.2,3.4,0,0,0,0,0
"15","KWALE","MSAMBWENI","SubCounty",45374,0.4,0.4,20,4.1,1.9,0.7,0,0,1,14.7,48.8,7.5,0,0,0.2,0,0
"16","KWALE","SAMBURU-KWALE","SubCounty",34987,0.4,1,52.9,11,1.3,0.4,0,0.1,0.9,8.3,19,4.2,0.1,0.1,0,0,0.1
"17","KILIFI","KILIFI","County",297990,0.4,0.6,38.8,10.2,1.6,0.8,0,0.1,0.9,16,19.8,10.4,0.1,0.1,0.1,0,0
"18","KILIFI","CHONYI","SubCounty",11416,0.1,0.6,58.2,14.3,2.2,3.3,0,0,0.4,4.9,8.9,7.1,NA,0,NA,0,NA
"19","KILIFI","GANZE","SubCounty",23197,0.1,0.7,77.9,8.7,0.6,0.2,0,0.1,0.8,3,4.3,3.4,0.1,0.1,0,0,0.1
"20","KILIFI","KALOLENI","SubCounty",36344,0.1,0.1,51.1,8.4,1.2,0.4,0,0,1,10.6,17.9,8.7,0,0,0.2,0,0
"21","KILIFI","KAUMA","SubCounty",3479,0.5,0.4,71.9,8,0.6,0.7,0,0.1,1.3,4.7,7.6,3.9,0,0.1,NA,NA,NA
"22","KILIFI","KILIFI NORTH","SubCounty",39508,0.6,0.4,29.8,7.7,1.8,0.8,0.1,0.1,0.8,14.8,34.6,8.5,0,0,0.1,0,0
"23","KILIFI","KILIFI SOUTH","SubCounty",53011,0.1,0.1,20.8,8.2,1.4,0.8,0,0.1,1.4,24.3,28.4,14,0,0,0.1,0.1,0
"24","KILIFI","MAGARINI","SubCounty",32978,1,1.2,57.8,14.9,1.9,0.6,0,0.1,0.7,6.7,8.7,5.8,0.2,0.2,0,0,0
"25","KILIFI","MALINDI","SubCounty",73317,0.6,1.1,24.9,10.8,1.7,0.8,0,0.2,0.9,24.7,19.5,14.5,0.1,0.1,0,0,0
"26","KILIFI","RABAI","SubCounty",24740,0.1,0.2,39.8,13.3,2.1,0.7,0,0.3,0.7,13.7,17.1,11.5,0,0.1,0.1,0,0
"27","TANA RIVER","TANA RIVER","County",66984,1.8,21.6,38,14.1,1,0.4,0.1,0.5,2,8.5,5.8,4.3,1.1,0.7,0.2,0,0.1
"28","TANA RIVER","TANA DELTA","SubCounty",22395,1.4,13.9,53.7,14.6,0.9,0.1,0.1,0.1,0.5,4.8,5.4,2.2,1.6,0.5,0.1,0,0
"29","TANA RIVER","TANA NORTH","SubCounty",26119,3.1,32,20,14.5,1.4,0.5,0.2,0.4,3.7,10.3,6.7,5,1.2,0.9,0.2,0,0
"30","TANA RIVER","TANA RIVER","SubCounty",18470,0.4,16.4,44.4,12.9,0.5,0.5,0.1,1.2,1.4,10.3,5,5.7,0.4,0.5,0.2,0,0.1
"31","LAMU","LAMU","County",34231,2.1,1.9,40.8,11.6,2.8,0.8,0.1,0.2,1.4,15.6,14.1,7,0.4,0.7,0.3,0.1,0
"32","LAMU","LAMU EAST","SubCounty",4476,0.5,0.7,12.3,24.2,4,1.7,NA,0,0.8,10.6,32.8,11.9,0.3,0.1,0.2,NA,NA
"33","LAMU","LAMU WEST","SubCounty",29755,2.3,2.1,45.1,9.7,2.6,0.6,0.1,0.3,1.4,16.4,11.3,6.3,0.4,0.8,0.3,0.2,0
"34","TAITA/TAVETA","TAITA/TAVETA","County",94468,0.2,0.1,19.6,5.5,16.2,7.1,0.1,0.2,2.7,11.5,7.9,28.6,0.1,0.1,0.1,0.1,0
"35","TAITA/TAVETA","MWATATE","SubCounty",23184,0,0,12.4,6.1,24.9,13.7,0.1,0.1,1.9,5.8,4.7,30.1,0.1,0.1,0,0,0
"36","TAITA/TAVETA","TAITA","SubCounty",14985,0.1,0,9.7,6.3,29.8,15.7,0,0.1,1.2,7.5,4,25.5,0,0,0.1,NA,0
"37","TAITA/TAVETA","TAVETA","SubCounty",23417,0.2,0.2,34,6.3,1.7,0.8,0.1,0.1,6.5,20.5,17.9,11,0,0.1,0.3,0.1,0
"38","TAITA/TAVETA","VOI","SubCounty",32882,0.4,0.1,18.8,4,14.2,3.2,0,0.3,1.4,11,4.6,41.7,0.1,0.1,0.1,0.1,0
"39","GARISSA","GARISSA","County",138940,5.8,29.2,13.5,12,2.6,0.7,0.3,0.6,14.1,7.3,6.3,6.6,0.1,0.1,0.8,0,0
"40","GARISSA","BALAMBALA","SubCounty",3986,6.8,51.8,15.4,10.6,0.8,0.4,0.2,0.1,6.7,1.1,2.6,2.2,0.1,NA,1.4,NA,NA
"41","GARISSA","DADAAB","SubCounty",35169,3.8,16.4,29.1,11,2.8,0.8,0.3,0.4,29.8,1.8,1.2,1.3,0.2,0.2,1,0,0
"42","GARISSA","FAFI","SubCounty",23351,4.4,33.7,13.6,15.7,3.4,0.5,0.2,1.7,16.9,1.9,3.2,2.4,0.4,0.4,1.6,0,0
