"","County","SubCounty","AdminArea","Total","CH","GQ","CH_Owned_No","CH_Owned_Perc","CH_Rent/Provided_No","CH_Rent/Provided_Perc","NotStated_No","NotStated_Perc"
"1","xxx","KENYA","xxx",12143913,12043016,100897,7379485,61.3,4660027,38.7,3504,0
"2","xxx","RURAL","xxx",7432249,7379282,52967,6387020,86.6,990602,13.4,1660,0
"3","xxx","URBAN","xxx",4711664,4663734,47930,992465,21.3,3669425,78.7,1844,0
"4","MOMBASA","MOMBASA","County",378422,376295,2127,78346,20.8,297830,79.1,119,0
"5","MOMBASA","CHANGAMWE","SubCounty",46614,46439,175,4531,9.8,41903,90.2,5,0
"6","MOMBASA","JOMVU","SubCounty",53472,53214,258,14021,26.3,39185,73.6,8,0
"7","MOMBASA","KISAUNI","SubCounty",88202,88159,43,25407,28.8,62711,71.1,41,0
"8","MOMBASA","LIKONI","SubCounty",81191,80002,1189,17401,21.8,62586,78.2,15,0
"9","MOMBASA","MVITA","SubCounty",38995,38710,285,6516,16.8,32172,83.1,22,0.1
"10","MOMBASA","NYALI","SubCounty",69948,69771,177,10470,15,59273,85,28,0
"11","KWALE","KWALE","County",173176,172802,374,133135,77,39612,22.9,55,0
"12","KWALE","KINANGO","SubCounty",16043,16041,2,14679,91.5,1359,8.5,3,0
"13","KWALE","LUNGALUNGA","SubCounty",37366,37276,90,33298,89.3,3973,10.7,5,0
"14","KWALE","MATUGA","SubCounty",39231,39124,107,32740,83.7,6374,16.3,10,0
"15","KWALE","MSAMBWENI","SubCounty",45466,45374,92,23263,51.3,22098,48.7,13,0
"16","KWALE","SAMBURU-KWALE","SubCounty",35070,34987,83,29155,83.3,5808,16.6,24,0.1
"17","KILIFI","KILIFI","County",298472,297990,482,199451,66.9,98466,33,73,0
"18","KILIFI","CHONYI","SubCounty",11421,11416,5,11098,97.2,318,2.8,NA,NA
"19","KILIFI","GANZE","SubCounty",23258,23197,61,21647,93.3,1538,6.6,12,0.1
"20","KILIFI","KALOLENI","SubCounty",36355,36344,11,27636,76,8693,23.9,15,0
"21","KILIFI","KAUMA","SubCounty",3479,3479,NA,3311,95.2,168,4.8,NA,NA
"22","KILIFI","KILIFI NORTH","SubCounty",39512,39508,4,23143,58.6,16361,41.4,4,0
"23","KILIFI","KILIFI SOUTH","SubCounty",53074,53011,63,23385,44.1,29620,55.9,6,0
"24","KILIFI","MAGARINI","SubCounty",33017,32978,39,28655,86.9,4314,13.1,9,0
"25","KILIFI","MALINDI","SubCounty",73547,73317,230,41731,56.9,31563,43.1,23,0
"26","KILIFI","RABAI","SubCounty",24809,24740,69,18845,76.2,5891,23.8,4,0
"27","TANA RIVER","TANA RIVER","County",68242,66984,1258,52564,78.5,14383,21.5,37,0.1
"28","TANA RIVER","TANA DELTA","SubCounty",22791,22395,396,19641,87.7,2744,12.3,10,0
"29","TANA RIVER","TANA NORTH","SubCounty",26886,26119,767,18245,69.9,7865,30.1,9,0
"30","TANA RIVER","TANA RIVER","SubCounty",18565,18470,95,14678,79.5,3774,20.4,18,0.1
"31","LAMU","LAMU","County",37963,34231,3732,23238,67.9,10981,32.1,12,0
"32","LAMU","LAMU EAST","SubCounty",5090,4476,614,3289,73.5,1187,26.5,NA,NA
"33","LAMU","LAMU WEST","SubCounty",32873,29755,3118,19949,67,9794,32.9,12,0
"34","TAITA/TAVETA","TAITA/TAVETA","County",96429,94468,1961,62688,66.4,31754,33.6,26,0
"35","TAITA/TAVETA","MWATATE","SubCounty",23698,23184,514,16932,73,6248,26.9,4,0
"36","TAITA/TAVETA","TAITA","SubCounty",15094,14985,109,12467,83.2,2517,16.8,1,0
"37","TAITA/TAVETA","TAVETA","SubCounty",24115,23417,698,15358,65.6,8053,34.4,6,0
"38","TAITA/TAVETA","VOI","SubCounty",33522,32882,640,17931,54.5,14936,45.4,15,0
"39","GARISSA","GARISSA","County",141394,138940,2454,121453,87.4,17450,12.6,37,0
"40","GARISSA","BALAMBALA","SubCounty",4337,3986,351,3915,98.2,71,1.8,NA,NA
"41","GARISSA","DADAAB","SubCounty",35793,35169,624,33111,94.1,2048,5.8,10,0
"42","GARISSA","FAFI","SubCounty",23671,23351,320,22297,95.5,1047,4.5,7,0
"43","GARISSA","GARISSA","SubCounty",30518,29790,728,17884,60,11892,39.9,14,0
"44","GARISSA","HULUGHO","SubCounty",20254,20078,176,19759,98.4,318,1.6,1,0
"45","GARISSA","IJARA","SubCounty",18481,18296,185,16577,90.6,1714,9.4,5,0
