"","ETHNICITY/NATIONALITY","SUBGROUP","TOTAL"
"1","TOTAL POPULATION","",47564296
"2","KENYANS","",47067376
"3","NON KENYANS","",463562
"4","NOT STATED","",33358
"5","KENYANS","",47067376
"6","AWEER/WAATA","",20103
"7","BAJUNI","",91422
"8","BORANA","",276236
"9","BURJI","",36938
"10","DAHALO","",575
"11","DASENACH","",19337
"12","DASENACH","DASENACH (SO STATED)",18381
"13","DASENACH","MERILE",956
"14","DOROBO","",23171
"15","EL MOLO","",1104
"16","EMBU","",404801
"17","GABRA","",141200
"18","GOSHA","",685
"19","ILCHAMUS/NJEMPS","",32949
"20","KALENJIN","",6358113
"21","KALENJIN","KALENJIN (SO STATED)",1553057
"22","KALENJIN","ARROR",92470
"23","KALENJIN","CHERANGANY",8323
"24","KALENJIN","ENDO",400
"25","KALENJIN","ENDOROIS",45621
"26","KALENJIN","KEIYO",251441
"27","KALENJIN","KIPSIGIS",1905983
"28","KALENJIN","LEMBUS",71600
"29","KALENJIN","MARAKWET",119969
"30","KALENJIN","NANDI",937884
"31","KALENJIN","OGIEK",52596
"32","KALENJIN","POKOT",778408
"33","KALENJIN","SABAOT/KONY/BONG'OMEK",296374
"34","KALENJIN","SAMOR",12211
"35","KALENJIN","SENGER",167
"36","KALENJIN","SENGWER",10729
"37","KALENJIN","TERIK",23324
"38","KALENJIN","TUGEN",197556
"39","KAMBA","",4663910
"40","KENYAN SOMALI","",2780502
"41","KENYAN SOMALI","KENYAN SOMALI (SO STATED)",579701
"42","KENYAN SOMALI","AJURAN",182276
"43","KENYAN SOMALI","DEGODIA",515583
"44","KENYAN SOMALI","GURREH",602174
"45","KENYAN SOMALI","HAWIYAH",4412
"46","KENYAN SOMALI","ISAAK",7417
"47","KENYAN SOMALI","LEYSAN",11636
"48","KENYAN SOMALI","MURULE",139097
"49","KENYAN SOMALI","OGADEN",697566
"50","KENYAN SOMALI","CORNER TRIBES",40640
"51","KIKUYU","",8148668
"52","KISII","",2703235
"53","KONSO","",1299
"54","KURIA","",313854
"55","LUHYA","",6823842
"56","LUHYA","LUHYA (SO STATED)",3944257
"57","LUHYA","ABAKHENYE",24468
"58","LUHYA","BAKHAYO",68703
"59","LUHYA","BANYALA",227165
"60","LUHYA","BANYORE",154553
"61","LUHYA","BATSOTSO",72687
"62","LUHYA","BATURA",12857
"63","LUHYA","BUKUSU",1188963
"64","LUHYA","IDAKHO",54661
"65","LUHYA","ISUKHA",101789
"66","LUHYA","KABRAS",136962
"67","LUHYA","KISA",35135
"68","LUHYA","MARACHI",65633
"69","LUHYA","MARAGOLI",334926
"70","LUHYA","MARAMA",43075
"71","LUHYA","SAMIA",84828
"72","LUHYA","TACHONI",85597
"73","LUHYA","TIRIKI",93393
"74","LUHYA","WANGA",94190
"75","LUO","",5066966
"76","MAASAI","",1189522
"77","MAKONDE","",3764
"78","MBEERE","",195250
"79","MERU","",1975869
"80","MIJIKENDA","",2488691
"81","MIJIKENDA","MIJIKENDA (SO STATED)",40724
"82","MIJIKENDA","CHONYI",198653
"83","MIJIKENDA","DIGO/WAFUNDI/WASAKWA",409595
"84","MIJIKENDA","DURUMA",555135
"85","MIJIKENDA","GIRIAMA",1007653
"86","MIJIKENDA","JIBANA",38466
"87","MIJIKENDA","KAMBE",31007
"88","MIJIKENDA","KAUMA",71061
"89","MIJIKENDA","RABAI",125707
"90","MIJIKENDA","RIBE",10690
"91","NUBI","",21319
"92","POKOMO","",112075
"93","ORMA","",158993
"94","ORMA","ORMA (SO STATED)",92086
"95","ORMA","GALLA",932
"96","ORMA","WARDEI",65975
"97","RENDILE","",96313
"98","SAKUYE","",27006
"99","SAMBURU","",333471
"100","SUBA","",157787
"101","SWAHILI","",56074
"102","SWAHILI","SWAHILI (SO STATED)",17232
"103","SWAHILI","AMU",5143
"104","SWAHILI","BARAWA",4633
"105","SWAHILI","CHITUNDI",319
"106","SWAHILI","JOMVU",4728
"107","SWAHILI","MUNYOYAYA/MUYEYAYA",15024
"108","SWAHILI","MVITA",402
"109","SWAHILI","NGARE",1057
"110","SWAHILI","PATE",1120
"111","SWAHILI","SIU",1016
"112","SWAHILI","VUMBA",1449
"113","SWAHILI","WACHANGAMWE",1344
"114","SWAHILI","WAFAZA",69
"115","SWAHILI","WAKATWA",113
"116","SWAHILI","WAKILIFI",685
"117","SWAHILI","WAKILINDINI",642
"118","SWAHILI","WAMTWAPA",240
"119","SWAHILI","WASHAKA",165
"120","SWAHILI","WATANGANA",531
"121","SWAHILI","WATIKUU",162
"122","TAITA","",344415
"123","TAVETA","",26590
"124","TESO","",417670
"125","THARAKA","",220015
"126","TURKANA","",1016174
"127","WALWANA/MALAKOTE","",21774
"128","WAYYU","",3761
"129","KENYAN ASIANS","",47555
"130","KENYAN AMERICAN","",596
"131","KENYAN ARABS","",59021
"132","KENYAN EUROPEAN","",1738
"133","KENYAN SO STATED","",183023
"134","NON-KENYANS","",463562
"135","EAST AFRICANS","",226372
"136","EAST AFRICANS","BURUNDI",13983
"137","EAST AFRICANS","RWANDA",8729
"138","EAST AFRICANS","SOUTH SUDAN",62894
"139","EAST AFRICANS","UGANDA",95938
"140","EAST AFRICANS","UNITED REPUBLIC OF TANZANIA",44828
"141","OTHER AFRICANS","",144646
"142","AMERICANS","",13781
"143","ASIANS","",42972
"144","CARIBBEANS","",241
"145","EUROPEANS","",26753
"146","OCEANIA AND PACIFIC","",1187
"147","OTHER NATIONALITY","",1338
"148","STATELESS (GALJEEL, SHONA, WAPEMBA, PARE E.T.C)","",6272
