"","County","SubCounty","AdminArea","Total","Male","Female","SearchedOnline_Total","SearchedOnline_Total_Perc","SearchedOnline_Male","SearchedOnline_Male_Perc","SearchedOnline_Female","SearchedOnline_Female_Perc"
"1","xxx","KENYA","xxx",28729203,14014340,14713949,1249133,4.3,698944,5,550116,3.7
"2","xxx","Rural*","xxx",19002236,9243850,9757916,315571,1.7,193164,2.1,122389,1.3
"3","xxx","Urban*","xxx",9726967,4770490,4956033,933562,9.6,505780,10.6,427727,8.6
"4","MOMBASA","MOMBASA","County",800412,403555,396843,58011,7.2,32027,7.9,25981,6.5
"5","MOMBASA","CHANGAMWE","SubCounty",90685,47934,42752,5398,6,3269,6.8,2129,5
"6","MOMBASA","JOMVU","SubCounty",106109,54315,51792,6589,6.2,3914,7.2,2675,5.2
"7","MOMBASA","KISAUNI","SubCounty",187488,93343,94143,13030,6.9,7093,7.6,5936,6.3
"8","MOMBASA","LIKONI","SubCounty",164014,84111,79901,7381,4.5,4485,5.3,2896,3.6
"9","MOMBASA","MVITA","SubCounty",104255,49260,54994,11235,10.8,5609,11.4,5626,10.2
"10","MOMBASA","NYALI","SubCounty",147861,74594,73263,14378,9.7,7657,10.3,6719,9.2
"11","KWALE","KWALE","County",472968,225949,247010,7004,1.5,4093,1.8,2910,1.2
"12","KWALE","KINANGO","SubCounty",46317,21109,25208,279,0.6,195,0.9,84,0.3
"13","KWALE","LUNGALUNGA","SubCounty",102695,48789,53906,685,0.7,463,0.9,222,0.4
"14","KWALE","MATUGA","SubCounty",111626,53782,57842,1615,1.4,928,1.7,687,1.2
"15","KWALE","MSAMBWENI","SubCounty",108942,54671,54268,3459,3.2,1867,3.4,1591,2.9
"16","KWALE","SAMBURU-KWALE","SubCounty",103388,47598,55786,966,0.9,640,1.3,326,0.6
"17","KILIFI","KILIFI","County",830180,389477,440696,18667,2.2,10824,2.8,7843,1.8
"18","KILIFI","CHONYI","SubCounty",33919,15106,18813,187,0.6,132,0.9,55,0.3
"19","KILIFI","GANZE","SubCounty",74499,31966,42533,495,0.7,340,1.1,155,0.4
"20","KILIFI","KALOLENI","SubCounty",107266,49188,58077,1895,1.8,1115,2.3,780,1.3
"21","KILIFI","KAUMA","SubCounty",12575,5985,6590,34,0.3,22,0.4,12,0.2
"22","KILIFI","KILIFI NORTH","SubCounty",106503,50569,55934,3997,3.8,2329,4.6,1668,3
"23","KILIFI","KILIFI SOUTH","SubCounty",126554,61234,65320,4555,3.6,2452,4,2103,3.2
"24","KILIFI","MAGARINI","SubCounty",100925,47636,53290,782,0.8,548,1.2,234,0.4
"25","KILIFI","MALINDI","SubCounty",195639,93614,102020,5716,2.9,3244,3.5,2472,2.4
"26","KILIFI","RABAI","SubCounty",72300,34180,38120,1006,1.4,642,1.9,364,1
"27","TANA RIVER","TANA RIVER","County",162150,79774,82374,1652,1,1115,1.4,537,0.7
"28","TANA RIVER","TANA DELTA","SubCounty",56824,28041,28784,514,0.9,350,1.2,164,0.6
"29","TANA RIVER","TANA NORTH","SubCounty",60646,30344,30301,502,0.8,347,1.1,155,0.5
"30","TANA RIVER","TANA RIVER","SubCounty",44680,21390,23290,636,1.4,418,2,218,0.9
"31","LAMU","LAMU","County",86390,46364,40025,2645,3.1,1735,3.7,910,2.3
"32","LAMU","LAMU EAST","SubCounty",13788,7304,6484,281,2,206,2.8,75,1.2
"33","LAMU","LAMU WEST","SubCounty",72602,39060,33541,2364,3.3,1529,3.9,835,2.5
"34","TAITA/TAVETA","TAITA/TAVETA","County",220214,111666,108544,7417,3.4,4303,3.9,3114,2.9
"35","TAITA/TAVETA","MWATATE","SubCounty",53830,27449,26381,1217,2.3,742,2.7,475,1.8
"36","TAITA/TAVETA","TAITA","SubCounty",37290,18858,18433,1229,3.3,711,3.8,518,2.8
"37","TAITA/TAVETA","TAVETA","SubCounty",56777,29360,27418,1652,2.9,966,3.3,686,2.5
"38","TAITA/TAVETA","VOI","SubCounty",72317,36000,36313,3319,4.6,1884,5.2,1435,4
"39","GARISSA","GARISSA","County",453174,248556,204594,7218,1.6,4541,1.8,2677,1.3
"40","GARISSA","BALAMBALA","SubCounty",20043,12873,7169,145,0.7,86,0.7,59,0.8
"41","GARISSA","DADAAB","SubCounty",105651,56673,48972,1110,1.1,677,1.2,433,0.9
"42","GARISSA","FAFI","SubCounty",73620,39938,33674,536,0.7,299,0.7,237,0.7
"43","GARISSA","GARISSA","SubCounty",90556,45018,45534,1796,2,1050,2.3,746,1.6
"44","GARISSA","HULUGHO","SubCounty",67830,39813,28015,2130,3.1,1433,3.6,697,2.5
"45","GARISSA","IJARA","SubCounty",69462,40717,28745,1380,2,927,2.3,453,1.6
"46","GARISSA","LAGDERA","SubCounty",26012,13525,12486,121,0.5,69,0.5,52,0.4
"47","WAJIR","WAJIR","County",383424,206705,176689,4353,1.1,2790,1.3,1563,0.9
"48","WAJIR","BUNA","SubCounty",23602,13104,10497,220,0.9,125,1,95,0.9
"49","WAJIR","ELDAS","SubCounty",42651,22700,19947,670,1.6,434,1.9,236,1.2
"50","WAJIR","HABASWEIN","SubCounty",87918,46652,41252,1288,1.5,816,1.7,472,1.1
"51","WAJIR","TARBAJ","SubCounty",25419,12731,12686,84,0.3,56,0.4,28,0.2
"52","WAJIR","WAJIR EAST","SubCounty",57262,30906,26354,849,1.5,597,1.9,252,1
"53","WAJIR","WAJIR NORTH","SubCounty",28981,15409,13568,221,0.8,140,0.9,81,0.6
"54","WAJIR","WAJIR SOUTH","SubCounty",61460,33955,27504,733,1.2,440,1.3,293,1.1
"55","WAJIR","WAJIR WEST","SubCounty",56131,31248,24881,288,0.5,182,0.6,106,0.4
"56","MANDERA","MANDERA","County",387832,200714,187105,3630,0.9,2180,1.1,1449,0.8
"57","MANDERA","MANDERA WEST","SubCounty",39966,20025,19942,352,0.9,214,1.1,138,0.7
