"","County","SubCounty","AdminArea","Farming","ExoticCattle_Dairy","ExoticCattle_Beef","IndigenousCattle","Sheep","Goats","Camels","Donkeys","Pigs","IndigenousChicken","ExoticChicken_Layers","ExoticChicken_Broilers","Beehives","Rabbits","FishPonds","FishCages"
"1","xxx","KENYA","xxx",6354211,2209980,559174,13005664,19307445,28011800,4640085,1176374,442761,30320632,5580766,2914840,1157162,561351,146008,33492
"2","MOMBASA","MOMBASA","County",12497,3015,1384,6252,2292,25411,58,68,3032,115315,37591,119186,894,1343,309,306
"3","MOMBASA","CHANGAMWE","SubCounty",618,49,39,119,50,905,NA,1,134,8201,990,9211,2,162,7,NA
"4","MOMBASA","JOMVU","SubCounty",2418,904,86,1106,340,4347,NA,22,447,19152,4276,15600,22,209,17,11
"5","MOMBASA","KISAUNI","SubCounty",6257,1034,552,3332,855,12211,7,19,1426,53473,15169,46725,207,543,214,273
"6","MOMBASA","LIKONI","SubCounty",1863,527,443,1151,477,5259,NA,10,78,16978,5470,16340,77,188,31,18
"7","MOMBASA","MVITA","SubCounty",309,114,81,93,128,648,50,5,823,3278,965,3118,510,41,27,2
"8","MOMBASA","NYALI","SubCounty",1032,387,183,451,442,2041,1,11,124,14233,10721,28192,76,200,13,2
"9","KWALE","KWALE","County",108074,10811,6117,293506,90615,382410,1096,1190,675,528984,28394,47266,4272,1183,522,172
"10","KWALE","KINANGO","SubCounty",13855,1036,1286,59587,23865,83391,156,469,1,71711,1554,1448,810,24,11,NA
"11","KWALE","LUNGALUNGA","SubCounty",29299,3406,1084,106975,39844,108306,138,331,219,135988,4131,2564,1461,290,127,49
"12","KWALE","MATUGA","SubCounty",24689,1871,1019,39601,5443,63035,41,176,226,122903,7541,10893,1015,270,48,111
"13","KWALE","MSAMBWENI","SubCounty",14959,1470,1235,23928,2578,23829,22,51,154,78013,12707,25210,464,511,279,7
"14","KWALE","SAMBURU-KWALE","SubCounty",25272,3028,1493,63415,18885,103849,739,163,75,120369,2461,7151,522,88,57,5
"15","KILIFI","KILIFI","County",161188,19918,9646,206893,56481,542257,2022,2754,3319,740657,75103,249165,4603,3434,1756,193
"16","KILIFI","CHONYI","SubCounty",10025,440,176,3359,113,12888,13,1,77,32943,621,2874,3,77,265,NA
"17","KILIFI","GANZE","SubCounty",20578,1830,1090,49867,13612,109358,1497,129,11,110245,2761,991,478,238,94,6
"18","KILIFI","KALOLENI","SubCounty",22504,2033,1165,32645,7194,69041,37,335,333,98643,8081,10898,697,293,36,15
"19","KILIFI","KAUMA","SubCounty",2867,409,181,4720,298,12388,9,22,11,11483,517,244,11,71,13,2
"20","KILIFI","KILIFI NORTH","SubCounty",18690,4446,1351,11633,1560,50728,97,69,691,99631,11246,36669,345,553,230,42
"21","KILIFI","KILIFI SOUTH","SubCounty",15114,2524,1566,11906,1653,32589,16,55,1325,76551,30700,112334,576,605,510,26
"22","KILIFI","MAGARINI","SubCounty",25989,2281,1414,39811,9451,114274,102,1220,97,103315,3097,4469,1274,406,415,16
"23","KILIFI","MALINDI","SubCounty",31072,5251,2225,42292,21091,118158,234,911,254,150844,14401,73730,1036,882,159,81
"24","KILIFI","RABAI","SubCounty",14349,704,478,10660,1509,22833,17,12,520,57002,3679,6956,183,309,34,5
"25","TANA RIVER","TANA RIVER","County",35094,6266,1194,264373,448066,590856,53298,15317,19,91344,6614,5211,10902,242,438,108
"26","TANA RIVER","TANA DELTA","SubCounty",15128,2409,624,168667,263084,224807,2309,4329,NA,55386,3983,2680,4651,135,245,69
"27","TANA RIVER","TANA NORTH","SubCounty",9397,1936,135,26355,101130,251341,37454,6620,15,12138,1516,717,4393,70,76,31
