"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"1","xxx","KENYA","xxx",6354211,5104967,904945,50484,1170170,3600840,1050352,1134102,67720,571426,2139421,490588,410224,707182,480812,540353,84077,1916898,654468,22920
"2","MOMBASA","MOMBASA","County",12497,5681,NA,NA,NA,NA,2849,NA,NA,NA,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MOMBASA","CHANGAMWE","SubCounty",618,108,NA,NA,NA,NA,39,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MOMBASA","JOMVU","SubCounty",2418,895,NA,NA,NA,NA,360,NA,NA,NA,332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MOMBASA","KISAUNI","SubCounty",6257,3456,NA,NA,NA,NA,1702,NA,NA,NA,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MOMBASA","LIKONI","SubCounty",1863,863,NA,NA,NA,NA,578,NA,NA,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MOMBASA","MVITA","SubCounty",309,81,NA,NA,NA,NA,39,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MOMBASA","NYALI","SubCounty",1032,278,NA,NA,NA,NA,131,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KWALE","KWALE","County",108074,93143,2784,8585,1038,8619,46004,10388,NA,20536,28831,NA,10008,1124,5636,1290,3794,10775,5089,NA
"10","KWALE","KINANGO","SubCounty",13855,12556,552,60,87,1567,4580,1841,NA,3132,1841,NA,1219,163,667,132,429,1746,322,NA
"11","KWALE","LUNGALUNGA","SubCounty",29299,25717,454,5499,340,1899,11279,2093,NA,5508,8424,NA,3013,332,717,327,881,3375,1143,NA
"12","KWALE","MATUGA","SubCounty",24689,21369,342,1143,233,2233,15401,2846,NA,2180,10026,NA,2787,214,680,168,577,3250,1891,NA
"13","KWALE","MSAMBWENI","SubCounty",14959,10731,202,1811,226,1073,8583,1623,NA,2064,5864,NA,1951,233,309,155,568,1337,1131,NA
