"","County","SubCounty","AdminArea","TP_Total","TP_Male","TP_Female","PWA_Total","PWA_Male","PWA_Female"
"1","xxx","KENYA","xxx",47213282,23315538,23896364,9729,4467,5261
"2","xxx","RURAL","xxx",32615723,16121886,16493031,7470,3414,4055
"3","xxx","URBAN","xxx",14597559,7193652,7403333,2259,1053,1206
"4","MOMBASA","MOMBASA","County",1190987,598314,592656,209,102,107
"5","MOMBASA","CHANGAMWE","SubCounty",130541,67825,62716,25,15,10
"6","MOMBASA","JOMVU","SubCounty",162760,82608,80149,35,12,23
"7","MOMBASA","KISAUNI","SubCounty",287131,143186,143942,59,30,29
"8","MOMBASA","LIKONI","SubCounty",249230,126161,123065,37,20,17
"9","MOMBASA","MVITA","SubCounty",147983,71229,76752,20,9,11
"10","MOMBASA","NYALI","SubCounty",213342,107305,106032,33,16,17
"11","KWALE","KWALE","County",858748,420556,438176,171,79,92
"12","KWALE","KINANGO","SubCounty",93789,45099,48689,21,9,12
"13","KWALE","LUNGALUNGA","SubCounty",198195,97019,101173,40,15,25
"14","KWALE","MATUGA","SubCounty",192999,95096,97901,32,18,14
"15","KWALE","MSAMBWENI","SubCounty",173213,86899,86311,33,16,17
"16","KWALE","SAMBURU-KWALE","SubCounty",200552,96443,104102,45,21,24
"17","KILIFI","KILIFI","County",1440958,695879,745059,265,122,143
"18","KILIFI","CHONYI","SubCounty",62318,29517,32800,4,NA,4
"19","KILIFI","GANZE","SubCounty",143590,66741,76845,32,15,17
"20","KILIFI","KALOLENI","SubCounty",192905,92000,100900,31,13,18
"21","KILIFI","KAUMA","SubCounty",22613,10951,11662,8,6,2
"22","KILIFI","KILIFI NORTH","SubCounty",177527,86099,91426,55,25,30
"23","KILIFI","KILIFI SOUTH","SubCounty",203891,100019,103871,38,16,22
"24","KILIFI","MAGARINI","SubCounty",190644,92592,98052,38,20,18
"25","KILIFI","MALINDI","SubCounty",326991,159583,167401,44,20,24
"26","KILIFI","RABAI","SubCounty",120479,58377,62102,15,7,8
"27","TANA RIVER","TANA RIVER","County",314710,157511,157197,82,52,30
"28","TANA RIVER","TANA DELTA","SubCounty",110293,55426,54867,27,17,10
"29","TANA RIVER","TANA NORTH","SubCounty",116463,58863,57598,34,21,13
"30","TANA RIVER","TANA RIVER","SubCounty",87954,43222,44732,21,14,7
"31","LAMU","LAMU","County",141909,74669,67237,17,8,9
"32","LAMU","LAMU EAST","SubCounty",22212,11633,10579,4,1,3
"33","LAMU","LAMU WEST","SubCounty",119697,63036,56658,13,7,6
"34","TAITA/TAVETA","TAITA/TAVETA","County",335747,169778,165963,79,36,43
"35","TAITA/TAVETA","MWATATE","SubCounty",81389,41280,40107,23,9,14
"36","TAITA/TAVETA","TAITA","SubCounty",55643,28163,27480,23,9,14
"37","TAITA/TAVETA","TAVETA","SubCounty",89319,45797,43522,5,2,3
"38","TAITA/TAVETA","VOI","SubCounty",109396,54538,54854,28,16,12
"39","GARISSA","GARISSA","County",835482,454437,381012,514,259,255
"40","GARISSA","BALAMBALA","SubCounty",31819,19894,11924,1,1,NA
"41","GARISSA","DADAAB","SubCounty",183410,97713,85690,43,26,17
"42","GARISSA","FAFI","SubCounty",133286,72043,61233,20,9,11
"43","GARISSA","GARISSA","SubCounty",161951,81846,80100,35,12,23
"44","GARISSA","HULUGHO","SubCounty",133746,77885,55856,179,95,84
"45","GARISSA","IJARA","SubCounty",141418,80351,61063,224,110,114
"46","GARISSA","LAGDERA","SubCounty",49852,24705,25146,12,6,6
"47","WAJIR","WAJIR","County",775302,411369,363886,122,66,56
"48","WAJIR","BUNA","SubCounty",48117,25758,22357,4,1,3
"49","WAJIR","ELDAS","SubCounty",88905,44884,44014,40,22,18
"50","WAJIR","HABASWEIN","SubCounty",173446,94211,79220,30,19,11
"51","WAJIR","TARBAJ","SubCounty",56388,26711,29672,9,6,3
"52","WAJIR","WAJIR EAST","SubCounty",109316,58252,51062,7,5,2
"53","WAJIR","WAJIR NORTH","SubCounty",61867,31758,30102,6,2,4
"54","WAJIR","WAJIR SOUTH","SubCounty",116225,64536,51686,10,4,6
"55","WAJIR","WAJIR WEST","SubCounty",121038,65259,55773,16,7,9
"56","MANDERA","MANDERA","County",862079,431285,430758,162,89,73
"57","MANDERA","MANDERA WEST","SubCounty",97983,47937,50042,10,5,5
"58","MANDERA","BANISA","SubCounty",152043,78052,73983,55,37,18
"59","MANDERA","KOTULO","SubCounty",71602,35279,36321,23,12,11
"60","MANDERA","LAFEY","SubCounty",83001,40159,42837,32,12,20
"61","MANDERA","MANDERA CENTRAL","SubCounty",156623,71225,85393,16,10,6
"62","MANDERA","MANDERA EAST","SubCounty",158586,82668,75913,11,4,7
"63","MANDERA","MANDERA NORTH","SubCounty",142241,75965,66269,15,9,6
"64","MARSABIT","MARSABIT","County",447150,234237,212896,29,13,16
"65","MARSABIT","LOIYANGALANI","SubCounty",35274,17279,17993,5,1,4
"66","MARSABIT","MARSABIT CENTRAL","SubCounty",78167,40141,38015,3,2,1
"67","MARSABIT","MARSABIT NORTH","SubCounty",49056,26579,22476,5,3,2
"68","MARSABIT","MARSABIT SOUTH","SubCounty",64937,32884,32053,3,1,2
"69","MARSABIT","MOYALE","SubCounty",108223,55892,52330,6,3,3
"70","MARSABIT","NORTH HORR","SubCounty",67154,38247,28905,4,3,1
"71","MARSABIT","SOLOLO","SubCounty",44339,23215,21124,3,NA,3
"72","ISIOLO","ISIOLO","County",267997,139510,128483,20,11,9
"73","ISIOLO","GARBATULLA","SubCounty",99730,54661,45068,9,6,3
"74","ISIOLO","ISIOLO","SubCounty",121061,60414,60647,9,5,4
"75","ISIOLO","MERTI","SubCounty",47206,24435,22768,2,NA,2
"76","MERU","MERU","County",1535635,760915,774683,563,260,303
"77","MERU","BUURI EAST","SubCounty",75943,37814,38129,32,18,14
"78","MERU","BUURI WEST","SubCounty",80419,40265,40152,25,13,12
"79","MERU","IGEMBE CENTRAL","SubCounty",219887,109825,110058,63,34,29
"80","MERU","IGEMBE NORTH","SubCounty",168903,83050,85849,39,16,23
