"","County","SubCounty","AdminArea","PopAge>5_Total","PopAge>5_Male","PopAge>5_Female","WithDisability_Total","WithDisability_Male","WithDisability_Female","WithoutDisability_Total","WithoutDisability_Male","WithoutDisability_Female","NotStated_Total","NotStated_Male","NotStated_Female","PercentageWithDisability"
"1","xxx","KENYA","xxx",41235190,20317125,20916821,918270,394330,523883,40300907,19914342,20385385,7652,3821,3827,2.2
"2","xxx","RURAL","xxx",28451359,14034674,14415969,738778,316071,422678,27701370,13712663,13988022,4384,2159,2224,2.6
"3","xxx","URBAN","xxx",12783831,6282451,6500852,179492,78259,101205,12599537,6201679,6397363,3268,1662,1603,1.4
"4","MOMBASA","MOMBASA","County",1043603,523840,519747,14241,6383,7857,1029060,517293,511752,214,114,100,1.4
"5","MOMBASA","CHANGAMWE","SubCounty",115799,60352,55447,1350,633,717,114431,59712,54719,10,3,7,1.2
"6","MOMBASA","JOMVU","SubCounty",141623,71845,69775,2079,952,1127,139503,70872,68628,23,11,12,1.5
"7","MOMBASA","KISAUNI","SubCounty",249250,124035,125212,3691,1615,2075,245483,122379,123102,61,34,27,1.5
"8","MOMBASA","LIKONI","SubCounty",215656,109317,106336,2198,972,1226,213422,108321,105098,19,13,6,1
"9","MOMBASA","MVITA","SubCounty",132701,63405,69294,2480,1050,1430,130153,62314,67837,55,32,23,1.9
"10","MOMBASA","NYALI","SubCounty",188574,94886,93683,2443,1161,1282,186068,93695,92368,46,21,25,1.3
"11","KWALE","KWALE","County",728767,355194,373559,12152,5722,6430,716361,349333,367014,134,70,64,1.7
"12","KWALE","KINANGO","SubCounty",77706,37031,40674,1281,601,680,76403,36422,39980,12,4,8,1.6
"13","KWALE","LUNGALUNGA","SubCounty",166539,81145,85393,2638,1297,1341,163848,79814,84033,10,6,4,1.6
"14","KWALE","MATUGA","SubCounty",81795,81795,84826,2511,1162,1349,164059,80602,83455,28,16,12,3.1
