"","County","SubCounty","AdminArea","Vision_Total","Vision_Male","Vision_Female","Hearing_Total","Hearing_Male","Hearing_Female","Mobility_Total","Mobility_Male","Mobility_Female","Cognition_Total","Cognition_Male","Cognition_Female","SelfCare_Total","SelfCare_Male","SelfCare_Female","Communication_Total","Communication_Male","Communication_Female"
"1","xxx","KENYA","xxx",333520,135965,197542,153361,67626,85728,385417,146966,238432,212798,89814,122959,139929,65950,73966,111356,60701,50641
"2","xxx","RURAL","xxx",259019,105603,153412,129518,56467,73047,319330,120401,198917,180606,75581,105013,115260,54225,61027,88785,48353,40423
"3","xxx","URBAN","xxx",74501,30362,44130,23843,11159,12681,66087,26565,39515,32192,14233,17946,24669,11725,12939,22571,12348,10218
"4","MOMBASA","MOMBASA","County",5600,2338,3262,2116,1019,1097,5202,2235,2967,2693,1245,1447,2201,1092,1109,2211,1223,988
"5","MOMBASA","CHANGAMWE","SubCounty",444,187,257,181,100,81,480,223,257,278,127,151,234,116,118,288,166,122
"6","MOMBASA","JOMVU","SubCounty",802,349,453,335,170,165,736,324,412,396,177,219,292,146,146,311,171,140
"7","MOMBASA","KISAUNI","SubCounty",1643,668,975,529,245,284,1219,516,703,690,314,375,477,244,233,512,270,242
"8","MOMBASA","LIKONI","SubCounty",836,334,502,359,174,185,727,306,421,440,204,236,337,166,171,385,204,181
"9","MOMBASA","MVITA","SubCounty",845,334,511,370,168,202,1188,466,722,493,223,270,483,219,264,358,202,156
"10","MOMBASA","NYALI","SubCounty",1030,466,564,342,162,180,852,400,452,396,200,196,378,201,177,357,210,147
"11","KWALE","KWALE","County",3623,1673,1950,2328,1087,1241,4744,2091,2653,2657,1191,1466,2304,1150,1154,2062,1135,927
"12","KWALE","KINANGO","SubCounty",387,181,206,260,131,129,489,212,277,277,114,163,233,109,124,236,125,111
"13","KWALE","LUNGALUNGA","SubCounty",682,328,354,560,251,309,1008,467,541,599,275,324,556,278,278,487,271,216
"14","KWALE","MATUGA","SubCounty",717,327,390,479,211,268,1008,467,541,603,272,331,478,246,232,451,239,212
"15","KWALE","MSAMBWENI","SubCounty",942,423,519,476,228,248,1149,471,678,587,251,336,533,265,268,419,235,184
"16","KWALE","SAMBURU-KWALE","SubCounty",895,414,481,553,266,287,1090,474,616,591,279,312,504,252,252,469,265,204
