"","County","SubCounty","AdminArea","ConventionalHouseholds","Collected_CountyGvt","Collected_CommunityAssociation","Collected_PrivateCompany","Dumped_Compound","Dumped_Street","Dumped_Latrine","Burnt_inopen","Buried","CompostPit","Burnt_Pit","NotStated"
"1","xxx","KENYA","xxx",12043016,6.3,6.9,8.8,8.4,2.4,3.6,27.1,3.2,18.4,14.9,0
"2","xxx","RURAL","xxx",7379282,0.7,0.1,0.7,11.7,1.1,4.3,33.7,4.8,25.1,17.9,0
"3","xxx","URBAN","xxx",4663734,15.3,17.5,21.8,3.2,4.4,2.5,16.5,0.8,7.8,10.1,0
"4","MOMBASA","MOMBASA","County",376295,5.6,36.7,19.5,3.9,5.2,2.6,16.1,0.6,4.9,4.9,0
"5","MOMBASA","CHANGAMWE","SubCounty",46439,6.8,50.4,14.6,3.2,6.6,2.2,9.5,0.5,3.2,3.1,0
"6","MOMBASA","JOMVU","SubCounty",53214,2.5,27.8,8.4,5.1,6.6,1.3,27.7,0.8,10.4,9.3,0
"7","MOMBASA","KISAUNI","SubCounty",88159,4,28.7,17.3,4.9,5.5,2.7,23.6,0.7,4.7,8,0
"8","MOMBASA","LIKONI","SubCounty",80002,6.3,47.3,8,3.6,2.9,3.8,17.8,0.8,5.2,4.4,0
"9","MOMBASA","MVITA","SubCounty",38710,13.7,30.4,37.6,3,6.8,1.8,3.4,0.2,1.6,1.4,0.1
"10","MOMBASA","NYALI","SubCounty",69771,4.1,36,36.8,3.2,4.4,3,7.1,0.5,3.4,1.5,0
"11","KWALE","KWALE","County",172802,5.2,1.1,1.2,20.9,2,4.4,33.2,2.7,12.4,16.7,0
"12","KWALE","KINANGO","SubCounty",16041,0.2,0,0.1,36.3,2.2,3.1,29.7,1.9,15.8,10.6,0
"13","KWALE","LUNGALUNGA","SubCounty",37276,0.9,0.1,0.4,22.7,2.4,8.2,33.1,5.1,14,13.2,0
"14","KWALE","MATUGA","SubCounty",39124,2,0.3,0.1,22.1,0.9,3.6,32.5,1.6,14,23.1,0
"15","KWALE","MSAMBWENI","SubCounty",45374,16.8,3.9,3.6,9.9,1.8,2,37,1.3,9.6,14.1,0
"16","KWALE","SAMBURU-KWALE","SubCounty",34987,0.6,0.2,0.7,24.8,3,5.3,31,3.7,11,19.6,0.1
"17","KILIFI","KILIFI","County",297990,6.2,2.8,3.9,11.5,1.9,4.7,34.8,2.7,12,19.4,0
"18","KILIFI","CHONYI","SubCounty",11416,0,NA,0,22.2,1.3,6.3,35.4,1.4,17.7,15.7,NA
"19","KILIFI","GANZE","SubCounty",23197,0.3,0,0,21.8,0.6,4.5,33.2,3.8,13.1,22.5,0.1
"20","KILIFI","KALOLENI","SubCounty",36344,3.2,0.4,0.8,12.9,1.5,6.8,37.5,4,13.5,19.4,0
"21","KILIFI","KAUMA","SubCounty",3479,0.1,0,0.2,13.3,2.1,7,41,3.7,14.2,18.5,NA
"22","KILIFI","KILIFI NORTH","SubCounty",39508,12.7,2.7,2.2,9.6,1.4,3.8,35.3,1.7,10.4,20.4,0
"23","KILIFI","KILIFI SOUTH","SubCounty",53011,7.3,7.3,12.7,6.5,1.8,2.6,36.2,1,9,15.7,0
"24","KILIFI","MAGARINI","SubCounty",32978,1.1,0.1,0.2,17.5,1.6,4.7,37,5.3,16,16.5,0
"25","KILIFI","MALINDI","SubCounty",73317,9.4,4.6,4.7,8.4,3.2,4.8,34.7,2.7,9.7,17.8,0
"26","KILIFI","RABAI","SubCounty",24740,4.5,0.2,0.9,9.8,1.9,6.7,24.5,1.8,15.8,33.8,0
"27","TANA RIVER","TANA RIVER","County",66984,0.7,0.5,0.6,10.5,2.6,4.6,49.4,9.8,7.5,13.6,0.1
"28","TANA RIVER","TANA DELTA","SubCounty",22395,0.1,0.1,0.1,12.2,3,2.8,51.9,9.2,9.4,11.3,0
"29","TANA RIVER","TANA NORTH","SubCounty",26119,1.5,0.6,1,10.1,2.1,7.2,46.8,13.8,4.9,11.9,0
"30","TANA RIVER","TANA RIVER","SubCounty",18470,0.5,0.8,0.7,9.2,2.8,2.9,50.2,4.9,8.8,19,0.1
"31","LAMU","LAMU","County",34231,3.8,2,1.3,16,6.4,4.5,38.9,3.3,9.7,14,0
"32","LAMU","LAMU EAST","SubCounty",4476,8.5,1,0.1,16.1,14.1,8.6,32.8,1,9.7,8.2,NA
"33","LAMU","LAMU WEST","SubCounty",29755,3.1,2.2,1.5,16,5.3,3.9,39.8,3.7,9.7,14.8,0
"34","TAITA/TAVETA","TAITA/TAVETA","County",94468,5.9,0.6,0.9,9.6,1,3.7,26.1,1.4,13,37.7,0
"35","TAITA/TAVETA","MWATATE","SubCounty",23184,1,0,0.5,13,0.3,3.1,16.1,1.2,19.2,45.5,0
"36","TAITA/TAVETA","TAITA","SubCounty",14985,2.2,0,0.3,17.6,0.2,1.8,18.8,2.5,24.9,31.6,0
"37","TAITA/TAVETA","TAVETA","SubCounty",23417,5.1,0.4,1,6.3,0.7,5.9,33.8,1.8,6.4,38.6,0
"38","TAITA/TAVETA","VOI","SubCounty",32882,11.7,1.5,1.3,5.9,2.3,3.4,31,0.7,7.8,34.4,0
"39","GARISSA","GARISSA","County",138940,6.1,1,3.5,8.1,1.6,10,45.6,11.4,5.3,7.3,0
"40","GARISSA","BALAMBALA","SubCounty",3986,2.4,0.8,2.4,8.6,0.7,5,44.9,22.3,5.6,7.4,NA
"41","GARISSA","DADAAB","SubCounty",35169,2.9,0.6,3.1,8,1.2,15.2,43,15.6,3.8,6.6,0
"42","GARISSA","FAFI","SubCounty",23351,3.9,2,2.3,7.9,2.7,7.1,44.7,13.3,5.6,10.4,0
"43","GARISSA","GARISSA","SubCounty",29790,18.3,1.6,9.7,7.8,1.5,13.6,30.8,4.4,4.7,7.6,0.1
"44","GARISSA","HULUGHO","SubCounty",20078,1.8,0.1,0.2,5.8,0.3,2.7,66.4,9.1,8.5,5.1,0
"45","GARISSA","IJARA","SubCounty",18296,2.7,0.9,1,11.1,2.4,7.9,48.6,11.7,6.3,7.1,0
"46","GARISSA","LAGDERA","SubCounty",8270,1.4,0.9,0.2,9.2,2.1,7.6,56.3,13.7,3.2,5.4,NA
"47","WAJIR","WAJIR","County",126878,5.7,0.5,1.6,5.3,1.3,8.4,43.5,24,3.4,6.2,0
"48","WAJIR","BUNA","SubCounty",6480,1.6,0,0.2,9.9,2.2,6.3,45.4,23.1,6.7,4.6,NA
"49","WAJIR","ELDAS","SubCounty",13862,3.7,0.3,2.3,3.4,1.2,11,33.8,37.3,4.1,2.9,NA
"50","WAJIR","HABASWEIN","SubCounty",31113,2.7,0.7,0.6,8.2,1.2,10.7,53,11.5,3.3,8,0
"51","WAJIR","TARBAJ","SubCounty",9241,1.1,0.1,0.2,1.3,1.3,7.3,43,36.6,3.6,5.5,NA
"52","WAJIR","WAJIR EAST","SubCounty",18282,23,0.7,7.4,5.1,1.7,6.9,22.2,26.3,1.6,5.1,0
"53","WAJIR","WAJIR NORTH","SubCounty",10478,4.7,0.3,0.3,6.9,2.8,8.8,52.1,11.2,4.5,8.3,NA
"54","WAJIR","WAJIR SOUTH","SubCounty",21149,1.3,0.9,0.3,3.5,0.1,7.3,51.3,24.6,2.6,8.2,0
"55","WAJIR","WAJIR WEST","SubCounty",16273,3.9,0.1,0.6,3.6,1.8,6.3,41.1,34.9,3.7,4,NA
"56","MANDERA","MANDERA","County",123954,9.1,0.3,0.4,5.5,1.5,7.5,58.1,8.7,2.9,5.9,0
"57","MANDERA","MANDERA WEST","SubCounty",14201,2.2,0.4,0.4,6.3,0.6,6.3,66.3,8.2,4.1,5.2,0
"58","MANDERA","BANISA","SubCounty",24000,3.3,0.4,0.5,5.7,1.8,6.6,61,12.4,3.3,5,0
"59","MANDERA","KOTULO","SubCounty",9342,14.9,0.1,0.1,9.1,1.4,7.1,57.4,5.8,2.2,2,NA
"60","MANDERA","LAFEY","SubCounty",11380,5,0.1,0.7,4.5,0.6,6.1,67,8.7,3.6,3.8,NA
"61","MANDERA","MANDERA CENTRAL","SubCounty",20795,4,0.2,0.4,5,1.5,12.7,63.4,8.6,1.4,2.7,0.1
"62","MANDERA","MANDERA EAST","SubCounty",25206,27.9,0.6,0.7,3.3,1.5,7.5,38.5,6.3,3.2,10.6,NA
"63","MANDERA","MANDERA NORTH","SubCounty",19030,2.2,0,0.1,7.3,2.7,5.1,63.2,8.9,2.5,8,NA
"64","MARSABIT","MARSABIT","County",76689,5.2,0,0.4,10.4,1.8,5,46.3,7.8,3.9,19,0.1
"65","MARSABIT","LOIYANGALANI","SubCounty",7646,0,NA,0,14.1,1.6,3.1,53.1,14,2.6,11.4,NA
"66","MARSABIT","MARSABIT CENTRAL","SubCounty",15658,11.6,0.2,1.9,5.3,0.8,5.5,33.9,1.9,4,35.1,0
"67","MARSABIT","MARSABIT NORTH","SubCounty",7468,0.1,NA,0.1,15.2,5.9,4.3,57.7,1.8,1,13.8,NA
"68","MARSABIT","MARSABIT SOUTH","SubCounty",11563,0.1,0,0,12.1,1.8,2.1,53.6,16,4.5,9.7,0
"69","MARSABIT","MOYALE","SubCounty",17591,11.9,0,0.1,4.9,1.6,6.4,45.8,3.4,4,21.7,0
"70","MARSABIT","NORTH HORR","SubCounty",9601,0.1,0,0,21.9,1.5,2.2,51.7,13.7,0.6,7.7,0.4
"71","MARSABIT","SOLOLO","SubCounty",7162,0.8,NA,0.2,8,0.9,11.2,36.2,10.4,11.4,21,0
"72","ISIOLO","ISIOLO","County",53217,4.7,1.4,6.3,4.1,1.2,5.4,42.6,6,4.2,24.1,0
"73","ISIOLO","GARBATULLA","SubCounty",17047,0.4,0.6,0.6,4.6,0.9,5.6,50.5,8.8,4.2,23.8,0
"74","ISIOLO","ISIOLO","SubCounty",27612,8.4,2.3,11.8,4.4,1.4,5.3,37,2.4,4.7,22.2,0
"75","ISIOLO","MERTI","SubCounty",8558,1.4,0,NA,2.3,1.1,4.8,45.1,12.1,2.5,30.7,NA
"76","MERU","MERU","County",423931,4.6,0.2,0.6,13.4,0.7,5.2,27.8,2.7,28.1,16.7,0
"77","MERU","BUURI EAST","SubCounty",23737,2,0,0.1,8.6,0.9,3.8,27,3.1,21.8,32.6,0
"78","MERU","BUURI WEST","SubCounty",27905,2.8,1.1,1.9,4.6,1.2,1.5,24.3,1.9,29.2,31.4,0
"79","MERU","IGEMBE CENTRAL","SubCounty",51848,0.9,0,0.2,18.8,0.5,5.3,44,3.2,20.1,6.9,0
"80","MERU","IGEMBE NORTH","SubCounty",38716,1.9,0,0.2,15.8,0.7,8.3,35.9,4.9,24.3,8.1,0
"81","MERU","IGEMBE SOUTH","SubCounty",43222,11.5,0.4,0.4,18.8,0.5,8.2,26.3,2,23.4,8.4,0.1
"82","MERU","IMENTI NORTH","SubCounty",57556,15,0.1,1.1,7.8,0.7,3.8,18.3,1.4,26.2,25.6,0
"83","MERU","IMENTI SOUTH","SubCounty",63954,3.5,0.3,0.8,10.7,0.1,6.2,18.2,2.1,41.5,16.5,0
"84","MERU","MERU CENTRAL","SubCounty",39498,1.6,0.1,0.3,13.8,0.6,5.3,26,2,29.7,20.6,0
"85","MERU","TIGANIA CENTRAL","SubCounty",24983,0.4,0.4,1.4,22,1.1,2.9,33.8,3.5,25,9.4,0
"86","MERU","TIGANIA EAST","SubCounty",16791,1,0,0.8,10.8,0.4,2.8,26.3,4.5,36,17.3,0.1
"87","MERU","TIGANIA WEST","SubCounty",35402,0.3,0,0.3,15.4,1.3,5.2,31.3,2.8,28.4,15,0
"88","MERU","MERU NATIONAL PARK","SubCounty",46,NA,NA,NA,NA,NA,NA,34.8,NA,NA,65.2,NA
"89","MERU","MT. KENYA FOREST","SubCounty",273,0.7,NA,3.3,2.6,NA,1.8,26,13.2,12.5,39.9,NA
"90","THARAKA-NITHI","THARAKA-NITHI","County",109450,4.4,0.1,0.2,15.8,0.5,4.3,34.8,2,19.2,18.7,0
"91","THARAKA-NITHI","IGAMBANG'OMBE","SubCounty",14383,1.2,NA,0.1,26.4,0.9,1.9,34.9,2.3,15.8,16.5,0
"92","THARAKA-NITHI","MAARA","SubCounty",34779,3.9,0.3,0.4,14.5,0.2,3.6,33.3,1.7,24.4,17.7,0
"93","THARAKA-NITHI","MERU SOUTH","SubCounty",28211,10.4,0,0.4,17,0.6,2.2,28.3,1.8,23.1,16.2,0
"94","THARAKA-NITHI","THARAKA NORTH","SubCounty",13403,0.5,NA,0,11.3,0.4,13.5,45.9,2.8,8,17.4,0.1
"95","THARAKA-NITHI","THARAKA SOUTH","SubCounty",18603,1.5,0,0.1,11.5,0.7,3.7,39.2,2,14.6,26.7,0
"96","THARAKA-NITHI","MT. KENYA FOREST","SubCounty",71,NA,NA,NA,NA,NA,50.7,5.6,NA,33.8,9.9,NA
"97","EMBU","EMBU","County",182427,4.4,1.3,2.3,11.4,0.8,3.9,28.6,2,24.1,21.1,0
"98","EMBU","EMBU EAST","SubCounty",39586,0.8,0.7,1.9,15,0.5,5.9,23.9,2.7,32.8,15.8,NA
"99","EMBU","EMBU NORTH","SubCounty",24294,1.4,0.7,1.7,9.3,0.5,3.6,15.5,2.4,53.3,11.6,0
"100","EMBU","EMBU WEST","SubCounty",43126,16,4,6.6,10.7,1.7,4.5,19.6,0.9,21.3,14.7,0
"101","EMBU","MBEERE SOUTH","SubCounty",45924,0.8,0.3,0.5,11.4,0.7,2.4,41.9,2.6,10.1,29.4,0
"102","EMBU","MBEERE NORTH","SubCounty",29483,0.3,0,0.1,9.6,0.3,3,38,1.8,14.5,32.4,0
