"","County","SubCounty","AdminArea","ConventionalHouseholds","Grass/Twigs","MakutiThatch","Dung/Mud","Ironsheets","Tincans","AsbestosSheets","Concrete/Cement","Tiles","Canvas/Tents","Decra/Versatile","Nylon/Cartons/Cardboard","Shingles","NotStated"
"1","xxx","KENYA","xxx",12043016,5.1,1.6,0.9,80.3,0.1,1.4,8.2,1,0.1,0.6,0.6,0,0
"2","xxx","RURAL","xxx",7379282,7.9,2.3,1.3,85.7,0.2,0.9,0.5,0.2,0.1,0.3,0.6,0,0
"3","xxx","URBAN","xxx",4663734,0.6,0.5,0.2,71.8,0.1,2.2,20.5,2.4,0,0.9,0.7,0.1,0
"4","MOMBASA","MOMBASA","County",376295,0.1,0.5,0.3,79.1,0.1,2.1,14.8,1.1,0,0.4,1.2,0.1,0
"5","MOMBASA","CHANGAMWE","SubCounty",46439,0,0.1,0.6,81.1,0.1,4.1,11.4,0.3,0,0.1,2.1,0,0
"6","MOMBASA","JOMVU","SubCounty",53214,0.1,0.7,0.3,85.3,0.1,0.9,11.1,0.2,0,0.2,0.7,0.3,0
"7","MOMBASA","KISAUNI","SubCounty",88159,0.2,0.9,0.2,84.2,0.1,2.3,9,1,0,0.4,1.6,0.1,0
"8","MOMBASA","LIKONI","SubCounty",80002,0.1,0.6,0.2,93.5,0.1,1.5,2.8,0.3,0,0.1,0.7,0,0
"9","MOMBASA","MVITA","SubCounty",38710,0.1,0.1,0.5,31.7,0.1,2.3,59.8,3.1,0.1,1.2,0.9,0.1,0.1
"10","MOMBASA","NYALI","SubCounty",69771,0.1,0.5,0.4,76.5,0.1,2.1,16.1,2.3,0,0.4,1.4,0,0
"11","KWALE","KWALE","County",172802,4,25.4,0.2,68.3,0.1,0.9,0.7,0.1,0,0.2,0.1,0,0
"12","KWALE","KINANGO","SubCounty",16041,12.4,17.3,0.3,68.8,0,0.6,0.1,0.1,0.1,0.1,0.2,NA,0
"13","KWALE","LUNGALUNGA","SubCounty",37276,7.3,34.2,0.3,57,0.1,0.6,0.1,0.1,0.1,0,0.2,0,0
"14","KWALE","MATUGA","SubCounty",39124,1.2,33.7,0.1,63.1,0,1.1,0.3,0.1,0,0.2,0,0,0
"15","KWALE","MSAMBWENI","SubCounty",45374,0.5,26.3,0.1,69.1,0.1,1.2,2,0.3,0,0.3,0.1,0,0
"16","KWALE","SAMBURU-KWALE","SubCounty",34987,4.2,9.1,0.2,84.7,0.1,0.6,0.2,0.1,0.1,0.3,0.2,0,0.1
"17","KILIFI","KILIFI","County",297990,2.1,20.5,0.2,71.6,0.1,1.1,3.4,0.4,0.1,0.2,0.2,0,0
"18","KILIFI","CHONYI","SubCounty",11416,1.5,48.9,0.1,48.7,0,0.5,0.1,0,0,0.1,NA,NA,NA
"19","KILIFI","GANZE","SubCounty",23197,5.9,13.4,0.6,79.2,0.1,0.2,0.2,0,0.1,0,0.2,0,0.1
"20","KILIFI","KALOLENI","SubCounty",36344,1,15.4,0.2,79.8,0.1,0.6,1.3,1.1,0,0.3,0.1,0,0
"21","KILIFI","KAUMA","SubCounty",3479,3.1,37.6,0.1,58.5,0,0.2,0.3,NA,0.1,0,0.1,NA,NA
"22","KILIFI","KILIFI NORTH","SubCounty",39508,0.8,26.5,0.1,68.7,0,1.5,1.6,0.5,0,0.3,0,0,0
"23","KILIFI","KILIFI SOUTH","SubCounty",53011,0.4,17.5,0.2,71.1,0.1,2,7.2,0.6,0,0.5,0.2,0.1,0
"24","KILIFI","MAGARINI","SubCounty",32978,7,23.5,0.2,68,0.1,0.3,0.5,0,0.2,0,0.2,0,0
"25","KILIFI","MALINDI","SubCounty",73317,1.9,18.2,0.1,70.8,0.1,1.3,6.7,0.2,0.1,0.2,0.4,0,0
"26","KILIFI","RABAI","SubCounty",24740,0.3,18.9,0.1,78.2,0.1,0.5,0.9,0.1,0,0.3,0.4,0,0
"27","TANA RIVER","TANA RIVER","County",66984,33.5,8.8,1.1,52.9,0.1,0.5,0.6,0.1,1.3,0,0.9,0,0.1
