County,Male,Female,Intersex,Total,NumberOfHouseholds,AverageHouseholdSize,Population,LandArea(in Sq. Km),Population Density(No. per Sq. Km),MPO_Total_Perc,StandAloneRadio,FunctionalTV,Car,Internet
Kenya,23548056,24014716,1524,47564296,12143913,3.9,47564296,580876.3,82,47.3,56.9,40.7,6.3,17.9
Mombasa,610257,598046,30,1208333,378422,3.1,1208333,219.9,5495,61.8,47.4,57.2,6.8,28.2
Kwale,425121,441681,18,866820,173176,5,866820,8267.1,105,36.7,42.6,23.1,2.3,9.8
Kilifi,704089,749673,25,1453787,298472,4.8,1453787,12539.7,116,39.4,37.8,25.9,2.8,11.6
Tana River,158550,157391,2,315943,68242,4.6,315943,37950.5,8,31.6,28.4,15.3,1.6,5.5
Lamu,76103,67813,4,143920,37963,3.7,143920,6253.3,23,45.2,37.3,30.8,1.4,11.8
Taita Taveta,173337,167327,7,340671,96429,3.5,340671,17152,20,54.9,55.9,38.6,3.5,15.9
Garissa,458975,382344,34,841353,141394,5.9,841353,44736,19,30.3,47.8,12.9,4.1,6.3
Wajir,415374,365840,49,781263,127932,6.1,781263,56773.1,14,27.9,54.2,6.6,2.5,3.5
Mandera,434976,432444,37,867457,125763,6.9,867457,25939.8,33,25.3,45,8.3,3,3.5
Marsabit,243548,216219,18,459785,77495,5.8,459785,70944.1,6,29,27.8,14.7,2.2,4.4
Isiolo,139510,128483,9,268002,58072,4.6,268002,25350.6,11,38.2,39.1,26.8,4,8.9
Meru,767698,777975,41,1545714,426360,3.6,1545714,7006.3,221,50.3,53.4,34.5,5.2,10.2
Tharaka Nithi,193764,199406,7,393177,109860,3.6,393177,2564.4,153,51.3,58.4,29.8,5,11.5
Embu,304208,304367,24,608599,182743,3.3,608599,2820.7,216,57,62.9,42,6.6,14.7
Kitui,549003,587151,33,1136187,262942,4.3,1136187,30429.5,37,42.9,55.1,19.5,3.7,6.8
Machakos,710707,711191,34,1421932,402466,3.5,1421932,6042.7,235,56.4,63.1,42.6,8.7,17.6
Makueni,489691,497942,20,987653,244669,4,987653,8169.8,121,49,62.7,24.5,4.5,9.4
Nyandarua,315022,323247,20,638289,179686,3.5,638289,3285.7,194,55,72.4,48.9,5.4,12.4
Nyeri,374288,384845,31,759164,248050,3,759164,3325,228,64.1,74.3,59.5,7.7,21.2
Kirinyaga,302011,308369,31,610411,204188,3,610411,1478.3,413,61.3,66.6,54,6,13.6
Murang'a,523940,532669,31,1056640,318105,3.3,1056640,2524.2,419,57.4,70.7,47.9,5,11.9
Kiambu,1187146,1230454,135,2417735,795241,3,2417735,2538.6,952,66,61.4,70,12.4,39.1
Turkana,478087,448868,21,926976,164519,5.6,926976,68232.9,14,16.6,12.1,7.4,1.3,4.4
West Pokot,307013,314213,15,621241,116182,5.3,621241,9123.2,68,21.1,33.8,9.7,1.6,3.5
Samburu,156774,153546,7,310327,65910,4.7,310327,21065.1,15,27.2,29.4,13.5,2.6,6.8
Trans Nzoia,489107,501206,28,990341,223808,4.4,990341,2495.2,397,40.4,57.3,34.3,4.9,11
Uasin Gishu,580269,582889,28,1163186,304943,3.8,1163186,3392.2,343,51.4,60.1,47.3,8.5,20.4
Elgeyo Marakwet,227317,227151,12,454480,99861,4.5,454480,3032,150,37.6,52.7,17.5,3.1,5
Nandi,441259,444430,22,885711,199426,4.4,885711,2855.8,310,42.5,60.3,27.1,4.4,8.8
Baringo,336322,330428,13,666763,142518,4.7,666763,10976.4,61,35,51.8,23,4.1,8.2
Laikipia,259440,259102,18,518560,149271,3.4,518560,9532.2,54,51.5,63.3,44.4,6.4,17.5
Nakuru,1077272,1084835,95,2162202,616046,3.5,2162202,7462.4,290,52.7,61.1,52.5,7.1,20.9
Narok,579042,578805,26,1157873,241125,4.8,1157873,17950.3,65,34.3,59,19.3,3.5,6.9
Kajiado,557098,560704,38,1117840,316179,3.5,1117840,21871.1,51,54.6,55,51.7,10.9,29.1
Kericho,450741,451008,28,901777,206036,4.4,901777,2436.1,370,43.4,60.3,29.3,4.9,11.1
Bomet,434287,441379,23,875689,187641,4.7,875689,2530.9,346,40.9,62.1,18.5,3.7,8
Kakamega,897133,970406,40,1867579,433207,4.3,1867579,3020,618,40.9,62,29.2,3.3,8.6
Vihiga,283678,306323,12,590013,143365,4.1,590013,563.8,1047,43.1,61.6,31.2,3,8.8
Bungoma,812146,858389,35,1670570,358796,4.6,1670570,3023.9,552,36.8,62.1,25.4,3.1,7.2
Busia,426252,467401,28,893681,198152,4.5,893681,1696.3,527,38.4,54.5,27.2,2.9,7.4
Siaya,471669,521496,18,993183,250698,3.9,993183,2529.8,393,44.1,65.5,28.3,2.9,8.3
Kisumu,560942,594609,23,1155574,300745,3.8,1155574,2085.4,554,49.4,65,45.1,5.3,20
Homa Bay,539560,592367,23,1131950,262036,4.3,1131950,3152.5,359,41.1,63,26.3,2.6,8.2
Migori,536187,580214,35,1116436,240168,4.6,1116436,2613.5,427,37.5,59.8,28.1,2.9,9.1
Kisii,605784,661038,38,1266860,308054,4.1,1266860,1323,958,43.8,58.5,30.7,3.4,8.8
Nyamira,290907,314656,13,605576,150669,4,605576,897.3,675,45.4,62.7,30.3,3.4,7.3
Nairobi City,2192452,2204376,245,4397073,1506888,2.9,4397073,703.9,6247,69.1,53.4,68.7,12.9,42.1
