"","County","Male","Female","Intersex","Total"
"1","Total",23548056,24014716,1524,47564296
"2","Mombasa",610257,598046,30,1208333
"3","Kwale",425121,441681,18,866820
"4","Kilifi",704089,749673,25,1453787
"5","Tana River",158550,157391,2,315943
"6","Lamu",76103,67813,4,143920
"7","Taita/Taveta",173337,167327,7,340671
"8","Garissa",458975,382344,34,841353
"9","Wajir",415374,365840,49,781263
"10","Mandera",434976,432444,37,867457
"11","Marsabit",243548,216219,18,459785
"12","Isiolo",139510,128483,9,268002
"13","Meru",767698,777975,41,1545714
"14","Tharaka-Nithi",193764,199406,7,393177
"15","Embu",304208,304367,24,608599
"16","Kitui",549003,587151,33,1136187
"17","Machakos",710707,711191,34,1421932
"18","Makueni",489691,497942,20,987653
"19","Nyandarua",315022,323247,20,638289
"20","Nyeri",374288,384845,31,759164
"21","Kirinyaga",302011,308369,31,610411
"22","Murang'a",523940,532669,31,1056640
"23","Kiambu",1187146,1230454,135,2417735
"24","Turkana",478087,448868,21,926976
"25","West Pokot",307013,314213,15,621241
"26","Samburu",156774,153546,7,310327
"27","Trans Nzoia",489107,501206,28,990341
"28","Uasin Gishu",580269,582889,28,1163186
"29","Elgeyo/Marakwet",227317,227151,12,454480
"30","Nandi",441259,444430,22,885711
"31","Baringo",336322,330428,13,666763
"32","Laikipia",259440,259102,18,518560
"33","Nakuru",1077272,1084835,95,2162202
"34","Narok",579042,578805,26,1157873
"35","Kajiado",557098,560704,38,1117840
"36","Kericho",450741,451008,28,901777
"37","Bomet",434287,441379,23,875689
"38","Kakamega",897133,970406,40,1867579
"39","Vihiga",283678,306323,12,590013
"40","Bungoma",812146,858389,35,1670570
"41","Busia",426252,467401,28,893681
"42","Siaya",471669,521496,18,993183
"43","Kisumu",560942,594609,23,1155574
"44","Homa Bay",539560,592367,23,1131950
"45","Migori",536187,580214,35,1116436
"46","Kisii",605784,661038,38,1266860
"47","Nyamira",290907,314656,13,605576
"48","Nairobi City",2192452,2204376,245,4397073
