County,UoDLT_Total_Perc,DeskTop/Computer/Laptop/Tablet,Bicycle,Motor Cycle,Refrigerator,Truck/Lorry/Bus/Three Wheelertruck,Tuk Tuk
Kenya,10.4,8.8,15,9.2,8.8,0.9,0.5
Mombasa,16.8,13,12.1,5.5,22,0.9,1.5
Kwale,4.6,4.3,19,10.6,6.2,0.5,0.7
Kilifi,6.6,5.5,15.3,10.4,8.1,0.5,0.9
Tana River,3.2,2.7,9.6,9.7,3.7,0.4,0.5
Lamu,6.2,4.2,28.5,15.7,8.6,0.4,0.4
Taita Taveta,9.6,6.3,18.6,15.2,6.7,0.7,0.5
Garissa,4.6,2.6,3.5,3.2,6,1.4,2.3
Wajir,2.9,1.4,2.2,3.1,2.4,0.8,2.1
Mandera,2.7,1.5,3.3,6.4,3.2,1,2.5
Marsabit,3,2.5,1.9,5.6,3,0.6,0.6
Isiolo,5.2,4.5,4.2,7.9,7.5,0.7,0.6
Meru,7.1,4.3,8.7,9.8,3.5,0.7,0.3
Tharaka Nithi,8.2,4.9,18.2,13.6,3.5,0.7,0.3
Embu,9.4,6.3,17.5,13.9,5.6,0.9,0.4
Kitui,4.9,3.5,22,13.2,2.7,0.7,0.6
Machakos,11.8,9.4,19.7,9.8,9.4,1.1,0.5
Makueni,6.1,4,29.9,14.2,2.5,0.9,0.4
Nyandarua,7.7,4.6,20.3,11.2,2.2,1.2,0.3
Nyeri,13.7,8.6,11.7,8.8,7.2,1,0.3
Kirinyaga,9.7,5.9,21.1,14.6,5.5,0.9,0.5
Murang'a,8.1,4.9,12.1,8.5,4.7,0.9,0.3
Kiambu,21.8,19.6,16.3,6.9,19.6,1.5,0.5
Turkana,2.4,2.1,4.2,4.8,1.9,0.4,0.4
West Pokot,3,1.4,3.2,5.8,0.6,0.4,0.3
Samburu,4.1,3.2,5.1,6.5,1.8,0.6,0.4
Trans Nzoia,7.1,4.9,20.6,12.7,3.7,0.9,0.4
Uasin Gishu,13.5,10.1,18.2,10.4,8.3,1.2,0.3
Elgeyo Marakwet,5.5,2,3.7,6.9,1.1,0.7,0.3
Nandi,6.7,3.6,10.7,11.1,2.4,0.6,0.3
Baringo,6.2,3.2,7.1,8.2,1.9,0.6,0.3
Laikipia,9.5,6.9,21.1,13.3,5.2,0.9,0.4
Nakuru,11.6,9.6,19.1,10.9,8.9,1,0.4
Narok,4.1,2.7,3.7,10.7,1.9,0.6,0.5
Kajiado,16.2,14.6,11.9,9.7,15.8,1.2,0.5
Kericho,8.3,4.7,4.5,8.4,3,0.7,0.3
Bomet,6.6,3.3,5.5,12,1.4,0.5,0.3
Kakamega,6.3,4.3,24.4,11.5,3.3,0.6,0.4
Vihiga,6.6,4.3,11.5,7.8,3.6,0.5,0.3
Bungoma,6.1,4.1,26.2,11.9,2.8,0.6,0.4
Busia,5.9,3.7,34.3,11.8,3.7,0.6,0.3
Siaya,6.8,4.2,32.7,11.8,4,0.6,0.4
Kisumu,12.6,9.8,22,10.3,11.6,0.8,0.8
Homa Bay,6.8,4.1,12.8,10.7,3.3,0.6,0.5
Migori,6.1,4.2,11.5,13.2,3.6,0.6,0.4
Kisii,7.8,5,3.5,7.8,3.1,0.6,0.3
Nyamira,7.4,3.7,3.9,8.3,2,0.7,0.3
Nairobi City,28,22.7,12.5,4.3,23.5,1.2,0.4
