county,sub_county,admin_area,conventional_households,total_piped,open_bush,cess_pool,total_flush,total_gas,total_wood,mains_electricity,solar,total_torch,total_paraffin
Kenya,KENYA,xxx,12043016,24.2,7.4,0.3,19.4,24.4,66.7,50.4,19.3,9,16.5
Mombasa,MOMBASA,County,376295,12.4,0.9,1.1,49.199999999999996,38.7,27.9,85.9,1.5,0.7,9.5
Kwale,KWALE,County,172802,9.8,31.7,0.5,10.3,9,85.2,31.5,22.8,6.6,36
Kilifi,KILIFI,County,297990,23.4,17,0.6,21.8,11.6,80.1,38.5,20,5.3,33.4
Tana River,TANA RIVER,County,66984,10.7,48.6,0.5,5.5,2.6999999999999997,95,25.6,20.9,33.8,9.7
Lamu,LAMU,County,34231,12.100000000000001,17.9,0.7,12.299999999999999,9.5,87.9,43.2,28.3,14.100000000000001,11
Taita Taveta,TAITA/TAVETA,County,94468,36.1,2.4,0.2,12.599999999999998,14.6,78.1,47.6,24.4,5.6,20.6
Garissa,GARISSA,County,138940,12,36.2,0.7,11,2.2,91.1,23.5,12.7,43,2.4
Wajir,WAJIR,County,126878,3.3,43.6,0.3,6.1,1.2999999999999998,94.8,14.1,11.6,53.400000000000006,1.6
Mandera,MANDERA,County,123954,3.4,39.4,0.3,3.6,0.8,96.4,15.7,9.9,42.3,1.7
Marsabit,MARSABIT,County,76689,1.9,47.4,0.1,0.8999999999999999,5,93.1,21.3,15.1,41,5.7
Isiolo,ISIOLO,County,53217,33.2,30.6,0.4,7.6,13.1,84.4,40.6,9.1,33.6,7.8
Meru,MERU,County,423931,42.5,1.4,0.2,6.2,13.1,84.1,40.2,18.8,11.9,25.4
Tharaka Nithi,THARAKA-NITHI,County,109450,42.900000000000006,1.1,0.1,4.599999999999999,10.3,87.9,34.7,17.1,22.099999999999998,22.5
Embu,EMBU,County,182427,49.3,0.7,0.3,9.700000000000001,18.799999999999997,76.5,47,21.1,9.399999999999999,20.200000000000003
Kitui,KITUI,County,261814,5.1,9.2,0.1,3.5,7,89.89999999999999,17.1,37.3,18.4,23.700000000000003
Machakos,MACHAKOS,County,399523,6.5,0.9,0.3,19.1,28,60.1,48.3,25.6,3.8,19.9
Makueni,MAKUENI,County,243979,6.7,1.2,0.1,3,8.799999999999999,86.19999999999999,20.4,44,7.1,26.7
Nyandarua,NYANDARUA,County,178224,27.6,0.2,0.1,3.5,12.7,85.6,41.3,28.4,3.8000000000000003,23.5
Nyeri,NYERI,County,244564,64.30000000000001,0.1,0.2,14.1,23.7,72.3,71.8,8.4,1.9,16.6
Kirinyaga,KIRINYAGA,County,203576,47.2,0.2,0.2,9.299999999999999,24.2,69.80000000000001,65.3,8.5,2.1,22.200000000000003
Murang'a,MURANG'A,County,317496,37.4,0.2,0.1,6.999999999999999,17.4,77.39999999999999,60.5,9.2,1.7,27.3
Kiambu,KIAMBU,County,792333,53,0.1,0.5,35,58.800000000000004,29.4,91.7,1.2,0.5,5
Turkana,TURKANA,County,162627,9,68.1,0.2,2.1,2.3,96.5,8.6,6.2,30.299999999999997,2.8
West Pokot,WEST POKOT,County,115761,8.5,42.7,0.1,1.5,2.5999999999999996,95.80000000000001,11.8,15.1,30.400000000000002,10
Samburu,SAMBURU,County,63951,6.9,65.6,0,1.7999999999999998,4.9,94.1,14.8,13.3,25.299999999999997,9.1
Trans Nzoia,TRANS NZOIA,County,222989,12.7,1.4,0.2,6,9.1,87.1,37.9,23.9,8.5,26.200000000000003
Uasin Gishu,UASIN GISHU,County,301110,29.7,0.5,0.2,20.9,25,68.5,63.8,14.9,9.3,9.600000000000001
Elgeyo Marakwet,ELGEYO/MARAKWET,County,99119,18.6,6.8,0,1.4000000000000001,3.3000000000000003,95.6,24.3,25.7,29.9,8.7
Nandi,NANDI,County,199040,12.2,1.5,0.1,2.3000000000000003,6.1,92.3,30.7,28.6,19.2,19.3
Baringo,BARINGO,County,141877,12.7,30.8,0.1,2.6,4.3999999999999995,94.7,28.3,21.9,18.4,11.7
Laikipia,LAIKIPIA,County,145776,32.2,9.4,0.1,14.3,21.5,75.7,42.2,26.4,7.6,17.8
Nakuru,NAKURU,County,598237,27.5,0.8,0.2,18.1,30.4,63.5,64.4,14.5,7.7,10.4
Narok,NAROK,County,238115,4.6,28.2,0.1,2.8000000000000003,8.7,89.4,19.7,37.7,24.6,9.899999999999999
Kajiado,KAJIADO,County,313218,18,13.6,0.4,24.9,47.900000000000006,38.1,67.4,15.5,5,9.2
Kericho,KERICHO,County,205932,19.2,1.5,0.1,4.499999999999999,9.8,87.9,44.9,20.9,19.3,12.4
Bomet,BOMET,County,187230,10.7,1,0.1,1.7000000000000002,6.1000000000000005,92.5,22.1,33.5,32.800000000000004,8.3
Kakamega,KAKAMEGA,County,432284,6.800000000000001,1.1,0.1,3.3000000000000003,7.7,89,25.1,36.7,6.5,29.6
Vihiga,VIHIGA,County,143288,4.3,0.6,0.1,1.7000000000000002,7.3999999999999995,89.7,38.4,20,3.5,37.2
Bungoma,BUNGOMA,County,357714,8.5,1.4,0.2,4.1,7.6000000000000005,89.3,21.6,36.4,8.799999999999999,30.3
Busia,BUSIA,County,197944,5.1,2.5,0.2,3.1000000000000005,6.4,91.4,26.1,37.9,6.4,27.3
Siaya,SIAYA,County,249341,5.1,6,0.1,1.8,6.3,91.2,19.7,50.8,3.1999999999999997,24
Kisumu,KISUMU,County,296846,19.200000000000003,3.6,0.2,11.199999999999998,19.3,71.8,52.6,26.2,1.8,18
Homa Bay,HOMA BAY,County,260290,3,10.2,0.1,2.4,6.6000000000000005,91.3,18.4,52.5,3.6,21.6
Migori,MIGORI,County,238133,2.7,9.4,0.2,2.5000000000000004,7.3,90.5,23.3,41.3,4.3,26.6
