county,average_household_size,population_density_no_per_sq_km,mpo_total_perc,uo_i_total_perc,stand_alone_radio,functional_tv,car,motor_cycle,bicycle,refrigerator,desk_top_computer_laptop_tablet,total_piped,total_flush,total_gas,mains_electricity
Kenya,3.9,82,47.3,22.6,56.9,40.7,6.3,9.2,15,8.8,8.8,24.2,19.4,24.4,50.4
Mombasa,3.1,5495,61.8,39.2,47.4,57.2,6.8,5.5,12.1,22,13,12.4,49.2,38.7,85.9
Kwale,5,105,36.7,12.4,42.6,23.1,2.3,10.6,19,6.2,4.3,9.8,10.3,9,31.5
Kilifi,4.8,116,39.4,15.1,37.8,25.9,2.8,10.4,15.3,8.1,5.5,23.4,21.8,11.6,38.5
Tana River,4.6,8,31.6,8.9,28.4,15.3,1.6,9.7,9.6,3.7,2.7,10.7,5.5,2.6999999999999997,25.6
Lamu,3.7,23,45.2,19.4,37.3,30.8,1.4,15.7,28.5,8.6,4.2,12.1,12.3,9.5,43.2
Taita Taveta,3.5,20,54.9,23.9,55.9,38.6,3.5,15.2,18.6,6.7,6.3,36.1,12.599999999999998,14.6,47.6
Garissa,5.9,19,30.3,12.2,47.8,12.9,4.1,3.2,3.5,6,2.6,12,11,2.2,23.5
Wajir,6.1,14,27.9,8.3,54.2,6.6,2.5,3.1,2.2,2.4,1.4,3.3,6.1,1.2999999999999998,14.1
Mandera,6.9,33,25.3,7.8,45,8.3,3,6.4,3.3,3.2,1.5,3.4,3.6,0.8,15.7
Marsabit,5.8,6,29,8.3,27.8,14.7,2.2,5.6,1.9,3,2.5,1.9,0.8999999999999999,5,21.3
Isiolo,4.6,11,38.2,14.2,39.1,26.8,4,7.9,4.2,7.5,4.5,33.2,7.6,13.1,40.6
Meru,3.6,221,50.3,19.3,53.4,34.5,5.2,9.8,8.7,3.5,4.3,42.5,6.2,13.1,40.2
Tharaka Nithi,3.6,153,51.3,18.8,58.4,29.8,5,13.6,18.2,3.5,4.9,42.900000000000006,4.599999999999999,10.3,34.7
Embu,3.3,216,57,22.1,62.9,42,6.6,13.9,17.5,5.6,6.3,49.3,9.7,18.799999999999997,47
Kitui,4.3,37,42.9,13.6,55.1,19.5,3.7,13.2,22,2.7,3.5,5.1,3.5,7,17.1
Machakos,3.5,235,56.4,25.8,63.1,42.6,8.7,9.8,19.7,9.4,9.4,6.5,19.1,28,48.3
Makueni,4,121,49,16.1,62.7,24.5,4.5,14.2,29.9,2.5,4,6.7,3,8.799999999999999,20.4
Nyandarua,3.5,194,55,20.6,72.4,48.9,5.4,11.2,20.3,2.2,4.6,27.6,3.5,12.7,41.3
