x,county,sub_county,admin_area,farming,exotic_cattle_dairy,exotic_cattle_beef,indigenous_cattle,sheep,goats,camels,donkeys,pigs,indigenous_chicken,exotic_chicken_layers,exotic_chicken_broilers,beehives,rabbits,fish_ponds,fish_cages,total_chicken,total_cattle,exotic_chicken,exotic_cattle,pastoral_livestock
1,xxx,KENYA,xxx,6354211,2209980,559174,13005664,19307445,28011800,4640085,1176374,442761,30320632,5580766,2914840,1157162,561351,146008,33492,38816238,15774818,8495606,2769154,60324909
2,MOMBASA,MOMBASA,County,12497,3015,1384,6252,2292,25411,58,68,3032,115315,37591,119186,894,1343,309,306,272092,10651,156777,4399,33955
9,KWALE,KWALE,County,108074,10811,6117,293506,90615,382410,1096,1190,675,528984,28394,47266,4272,1183,522,172,604644,310434,75660,16928,766531
15,KILIFI,KILIFI,County,161188,19918,9646,206893,56481,542257,2022,2754,3319,740657,75103,249165,4603,3434,1756,193,1064925,236457,324268,29564,805631
25,TANA RIVER,TANA RIVER,County,35094,6266,1194,264373,448066,590856,53298,15317,19,91344,6614,5211,10902,242,438,108,103169,271833,11825,7460,1303295
29,LAMU,LAMU,County,18678,12415,1618,84288,42145,97879,125,1964,280,128599,11913,9419,1402,292,407,217,149931,98321,21332,14033,224312
32,TAITA/TAVETA,TAITA/TAVETA,County,56920,17236,6661,90917,46535,202113,2630,2938,1605,332843,25086,20743,10345,10122,1068,140,378672,114814,45829,23897,339565
37,GARISSA,GARISSA,County,47645,6063,7458,1407170,2746577,3857292,816057,105543,NA,88360,24196,11379,8120,3010,NA,NA,123935,1420691,35575,13521,8011039
45,WAJIR,WAJIR,County,63433,7352,3634,856245,2190638,3198284,1176532,123751,NA,72071,8816,5456,1080,215,NA,NA,86343,867231,14272,10986,6245167
54,MANDERA,MANDERA,County,62639,5433,2706,1174850,2226033,4898807,1828665,155390,NA,151394,23270,21183,54007,5110,NA,NA,195847,1182989,44453,8139,8299690
62,MARSABIT,MARSABIT,County,39167,13693,7116,219927,627832,744475,215234,50006,65,21239,3326,1500,1011,95,372,80,26065,240736,4826,20809,1592234
70,ISIOLO,ISIOLO,County,24271,12900,10121,248577,854725,1030005,148859,33692,158,52192,11439,7456,2227,242,288,51,71087,271598,18895,23021,2133307
74,MERU,MERU,County,274865,114251,24656,173277,138771,342198,5732,5822,30789,1006744,140951,69083,50151,45935,6734,155,1216778,312184,210034,138907,654246
88,THARAKA-NITHI,THARAKA-NITHI,County,85767,32634,5137,52935,53816,214217,124,5867,8753,418193,31876,10785,56748,13321,1588,248,460854,90706,42661,37771,320968
95,EMBU,EMBU,County,130990,40843,9167,88405,45246,269133,228,11521,12837,756202,104390,36297,57408,29746,1766,977,896889,138415,140687,50010,402784
102,KITUI,KITUI,County,215322,10412,8869,324351,105830,1370560,5202,162609,1254,1361190,56769,27054,224113,3209,2462,161,1445013,343632,83823,19281,1800741
121,MACHAKOS,MACHAKOS,County,231341,30369,12656,319326,171525,624891,1473,24794,5517,1449665,186287,139584,31899,40577,3351,842,1775536,362351,325871,43025,1115742
131,MAKUENI,MAKUENI,County,193531,21517,8726,295560,133115,799638,1111,40311,1502,1397211,75556,48299,57594,16760,2243,644,1521066,325803,123855,30243,1228313
141,NYANDARUA,NYANDARUA,County,140854,135895,16879,58589,277762,37009,NA,9458,4017,738187,78274,11591,8870,39833,499,22,828052,211363,89865,152774,373360
150,NYERI,NYERI,County,164229,92486,11501,60520,153728,107460,NA,772,15188,734889,150195,131985,12433,40982,6315,238,1017069,164507,282180,103987,321708
161,KIRINYAGA,KIRINYAGA,County,139866,48488,12931,55022,26751,106844,NA,2404,15909,675656,100845,86098,11434,36742,8154,557,862599,116441,186943,61419,188617
168,MURANG'A,MURANG'A,County,231400,130152,23311,56640,56475,173763,NA,914,48775,922054,531781,132311,11668,58710,3066,51,1586146,210103,664092,153463,286878
178,KIAMBU,KIAMBU,County,214052,144311,20258,35825,118389,83597,NA,5307,84991,1156534,1831761,673366,7075,39567,5369,1767,3661661,200394,2505127,164569,237811
192,TURKANA,TURKANA,County,61209,2206,2173,320425,1053756,1990929,261923,116806,992,43158,7663,2501,2045,234,1836,345,53322,324804,10164,4379,3365110
200,WEST POKOT,WEST POKOT,County,89828,49863,17632,349343,358293,764175,19389,8433,341,424179,23174,12350,91636,1003,5458,368,459703,416838,35524,67495,1471811
206,SAMBURU,SAMBURU,County,43149,7691,12558,265384,566772,716587,48172,29875,270,94825,4994,2350,19325,353,455,62,102169,285633,7344,20249,1548743
210,TRANS NZOIA,TRANS NZOIA,County,140249,88662,6998,87808,136345,28199,NA,5032,4832,689222,127352,26787,8869,4623,10098,1120,843361,183468,154139,95660,252352
216,UASIN GISHU,UASIN GISHU,County,141547,139722,10564,128136,219925,45854,148,2280,9132,779875,117777,47722,18902,4499,2610,970,945374,278422,165499,150286,393915
223,ELGEYO/MARAKWET,ELGEYO/MARAKWET,County,74881,38735,5273,106445,190031,99926,89,2766,412,267674,21742,8042,23377,1982,1261,173,297458,150453,29784,44008,396402
228,NANDI,NANDI,County,148887,125566,11376,106476,97712,35096,NA,4344,862,639134,65254,20771,14712,4382,2647,159,725159,243418,86025,136942,239284
235,BARINGO,BARINGO,County,100465,46244,16157,347445,343343,933727,38500,18109,432,536949,29239,17317,154388,2700,1708,313,583505,409846,46556,62401,1624515
243,LAIKIPIA,LAIKIPIA,County,90729,25846,14935,229284,613782,402526,7827,8967,2685,506808,44016,23110,18901,10218,1949,59,573934,270065,67126,40781,1245592
249,NAKURU,NAKURU,County,283652,135235,23774,237517,532221,205392,388,22792,16895,1539144,329912,152761,34141,35368,2065,262,2021817,396526,482673,159009,975130
261,NAROK,NAROK,County,181706,93562,89203,1306126,2603542,1015845,1619,81932,2054,878467,50387,25819,49857,3679,2019,399,954673,1488891,76206,182765,4925513
269,KAJIADO,KAJIADO,County,97565,36547,56696,484467,1120649,877744,3584,50153,12390,493473,174525,150124,8850,9100,3701,223,818122,577710,324649,93243,2482860
276,KERICHO,KERICHO,County,150845,80670,5430,155548,56238,71875,NA,11940,794,577529,87531,20163,13199,3843,3673,191,685223,241648,107694,86100,283661
283,BOMET,BOMET,County,152564,99188,7342,211679,80492,76459,NA,10985,306,816840,87282,12917,19453,5940,3126,2064,917039,318209,100199,106530,368630
289,KAKAMEGA,KAKAMEGA,County,335269,69173,11322,322955,56884,78144,NA,1080,28634,1415652,102673,43620,9752,15986,9361,2323,1561945,403450,146293,80495,457983
303,VIHIGA,VIHIGA,County,113753,23067,1725,101826,6145,30854,NA,77,4628,477073,27284,13277,1973,9533,3330,281,517634,126618,40561,24792,138825
310,BUNGOMA,BUNGOMA,County,280445,62009,9822,279428,78494,109693,NA,6058,15930,1191092,73189,28328,13780,12911,6169,559,1292609,351259,101517,71831,467615
323,BUSIA,BUSIA,County,148257,11740,4673,190215,21704,82303,NA,233,57004,731624,31032,13990,2541,4796,5171,2362,776646,206628,45022,16413,294222
331,SIAYA,SIAYA,County,194362,10324,4527,311330,133110,163222,NA,5987,14175,917012,42160,27786,2169,5414,4867,3901,986958,326181,69946,14851,607662
338,KISUMU,KISUMU,County,147117,13799,6474,222723,163537,137696,NA,3542,4755,733465,71699,74235,2503,5836,5095,869,879399,242996,145934,20273,523956
346,HOMA BAY,HOMA BAY,County,193812,15095,7236,318638,148374,179555,NA,14046,4457,945303,44486,24168,3121,3434,7258,3943,1013957,340969,68654,22331,646567
355,MIGORI,MIGORI,County,169958,21062,8997,293261,70852,142204,NA,5894,2922,913634,41179,17816,6176,3856,3373,1818,972629,323320,58995,30059,506317
364,KISII,KISII,County,219853,51458,4883,160517,11001,56946,NA,1381,1421,936213,122621,26064,3239,5030,4711,2999,1084898,216858,148685,56341,228464
376,NYAMIRA,NYAMIRA,County,110028,34276,2735,82614,11787,39335,NA,728,1341,478429,64429,10264,5032,2925,4612,312,553122,119625,74693,37011,133736
382,NAIROBI CITY,NAIROBI CITY,County,32258,11780,4923,12626,19109,28415,NA,542,16412,354335,244733,248141,965,13036,2748,488,847209,29329,492874,16703,60150
