"","County","SubCounty","AdminArea","Total","Farming","CropProduction","LivestockProduction","Aquaculture","Fishing","Irrigation"
"1","xxx","KENYA","xxx",12143913,6354211,5555974,4729288,29325,109640,369679
"2","MOMBASA","MOMBASA","County",378422,12497,7218,8749,128,1409,958
"3","MOMBASA","CHANGAMWE","SubCounty",46614,618,230,476,6,62,36
"4","MOMBASA","JOMVU","SubCounty",53472,2418,1168,1810,12,132,209
"5","MOMBASA","KISAUNI","SubCounty",88202,6257,4043,4269,67,492,402
"6","MOMBASA","LIKONI","SubCounty",81191,1863,1136,1282,21,439,143
"7","MOMBASA","MVITA","SubCounty",38995,309,145,209,9,172,32
"8","MOMBASA","NYALI","SubCounty",69948,1032,496,703,13,112,136
"9","KWALE","KWALE","County",173176,108074,100020,72666,220,4452,2438
"10","KWALE","KINANGO","SubCounty",16043,13855,13032,10293,7,39,165
"11","KWALE","LUNGALUNGA","SubCounty",37366,29299,27513,19583,94,1879,744
"12","KWALE","MATUGA","SubCounty",39231,24689,22882,16311,33,478,505
"13","KWALE","MSAMBWENI","SubCounty",45466,14959,12906,9143,51,1254,590
"14","KWALE","SAMBURU-KWALE","SubCounty",35070,25272,23687,17336,35,802,434
"15","KILIFI","KILIFI","County",298472,161188,149334,101983,366,6393,5643
"16","KILIFI","CHONYI","SubCounty",11421,10025,9838,5153,14,30,68
"17","KILIFI","GANZE","SubCounty",23258,20578,19306,15777,41,158,442
"18","KILIFI","KALOLENI","SubCounty",36355,22504,21295,14519,34,54,254
"19","KILIFI","KAUMA","SubCounty",3479,2867,2738,1939,10,60,54
"20","KILIFI","KILIFI NORTH","SubCounty",39512,18690,17085,12011,30,1021,386
"21","KILIFI","KILIFI SOUTH","SubCounty",53074,15114,13485,8570,72,878,466
"22","KILIFI","MAGARINI","SubCounty",33017,25989,24929,15959,75,1884,856
"23","KILIFI","MALINDI","SubCounty",73547,31072,27424,19363,63,2176,2942
"24","KILIFI","RABAI","SubCounty",24809,14349,13234,8692,27,132,175
"25","TANA RIVER","TANA RIVER","County",68242,35094,16723,27046,212,2136,4528
"26","TANA RIVER","TANA DELTA","SubCounty",22791,15128,8697,11305,116,1475,1089
"27","TANA RIVER","TANA NORTH","SubCounty",26886,9397,2803,8021,57,148,1297
"28","TANA RIVER","TANA RIVER","SubCounty",18565,10569,5223,7720,39,513,2142
"29","LAMU","LAMU","County",37963,18678,15196,13448,65,3162,1083
"30","LAMU","LAMU EAST","SubCounty",5090,1831,1279,1202,4,1729,41
"31","LAMU","LAMU WEST","SubCounty",32873,16847,13917,12246,61,1433,1042
"32","TAITA/TAVETA","TAITA/TAVETA","County",96429,56920,48382,43462,275,670,10225
"33","TAITA/TAVETA","MWATATE","SubCounty",23698,16123,14021,12325,50,75,1020
"34","TAITA/TAVETA","TAITA","SubCounty",15094,12139,11254,9162,89,112,1287
"35","TAITA/TAVETA","TAVETA","SubCounty",24115,14591,12053,10851,92,428,7239
"36","TAITA/TAVETA","VOI","SubCounty",33522,14067,11054,11124,44,55,679
"37","GARISSA","GARISSA","County",141394,47645,4406,46154,1981,1411,1817
"38","GARISSA","BALAMBALA","SubCounty",4337,1786,428,1653,144,109,220
"39","GARISSA","DADAAB","SubCounty",35793,9315,410,9128,313,250,86
"40","GARISSA","FAFI","SubCounty",23671,6556,929,6263,326,263,473
"41","GARISSA","GARISSA","SubCounty",30518,3335,1032,2849,128,99,488
"42","GARISSA","HULUGHO","SubCounty",20254,13731,1147,13478,681,448,341
"43","GARISSA","IJARA","SubCounty",18481,8136,413,8021,311,158,191
"44","GARISSA","LAGDERA","SubCounty",8340,4786,47,4762,78,84,18
"45","WAJIR","WAJIR","County",127932,63433,2484,62695,1272,912,638
"46","WAJIR","BUNA","SubCounty",6480,3425,77,3407,37,38,7
"47","WAJIR","ELDAS","SubCounty",13961,6975,513,6776,200,198,114
"48","WAJIR","HABASWEIN","SubCounty",31292,19731,456,19603,381,213,160
"49","WAJIR","TARBAJ","SubCounty",9309,4598,114,4543,103,71,36
"50","WAJIR","WAJIR EAST","SubCounty",18674,3113,193,3039,58,52,51
"51","WAJIR","WAJIR NORTH","SubCounty",10490,5288,495,5214,51,50,163
"52","WAJIR","WAJIR SOUTH","SubCounty",21364,11735,252,11663,225,173,67
"53","WAJIR","WAJIR WEST","SubCounty",16362,8568,384,8450,217,117,40
"54","MANDERA","MANDERA","County",125763,62639,15310,60556,1646,1083,5428
"55","MANDERA","MANDERA WEST","SubCounty",14274,8737,2432,8507,220,149,545
"56","MANDERA","BANISA","SubCounty",24285,14983,5661,14496,399,248,1310
"57","MANDERA","KOTULO","SubCounty",9446,6881,267,6826,92,87,55
"58","MANDERA","LAFEY","SubCounty",11597,7352,418,7240,146,99,82
"59","MANDERA","MANDERA CENTRAL","SubCounty",21140,8042,395,7954,337,197,131
"60","MANDERA","MANDERA EAST","SubCounty",25904,7078,2730,6540,194,119,1692
