"","County","SubCounty","AdminArea","LandSize","LandSize_Subsistence","LandSize_Commercial","No.FHS","No.FHS_Subsistence","No.FHS_Commercial"
"1","xxx","KENYA","xxx",10032857,8432133,961501,6354211,5637450,506687
"2","MOMBASA","MOMBASA","County",10713,7938,1778,12497,9830,2062
"3","MOMBASA","CHANGAMWE","SubCounty",291,206,77,618,454,132
"4","MOMBASA","JOMVU","SubCounty",1628,1269,322,2418,1811,496
"5","MOMBASA","KISAUNI","SubCounty",5613,4181,578,6257,5198,762
"6","MOMBASA","LIKONI","SubCounty",1767,1379,350,1863,1441,334
"7","MOMBASA","MVITA","SubCounty",442,245,163,309,199,81
"8","MOMBASA","NYALI","SubCounty",973,658,288,1032,727,257
"9","KWALE","KWALE","County",304761,295623,6952,108074,103612,2525
"10","KWALE","KINANGO","SubCounty",85154,83483,1379,13855,13631,98
"11","KWALE","LUNGALUNGA","SubCounty",67716,65496,1478,29299,28197,505
"12","KWALE","MATUGA","SubCounty",66983,65402,1245,24689,23737,536
"13","KWALE","MSAMBWENI","SubCounty",23695,21250,2028,14959,13474,1011
"14","KWALE","SAMBURU-KWALE","SubCounty",61215,59992,823,25272,24573,375
"15","KILIFI","KILIFI","County",227776,209112,9122,161188,154803,4076
"16","KILIFI","CHONYI","SubCounty",8682,8589,78,10025,9936,47
"17","KILIFI","GANZE","SubCounty",39156,38178,768,20578,20163,253
"18","KILIFI","KALOLENI","SubCounty",28507,27898,412,22504,22019,203
"19","KILIFI","KAUMA","SubCounty",3089,3032,26,2867,2801,20
"20","KILIFI","KILIFI NORTH","SubCounty",18127,17046,920,18690,17755,619
"21","KILIFI","KILIFI SOUTH","SubCounty",15613,14209,1275,15114,14116,747
"22","KILIFI","MAGARINI","SubCounty",40657,38691,1719,25989,25259,458
"23","KILIFI","MALINDI","SubCounty",61277,49297,3519,31072,28895,1499
"24","KILIFI","RABAI","SubCounty",12668,12172,405,14349,13859,230
"25","TANA RIVER","TANA RIVER","County",81049,52664,9489,35094,26341,3026
"26","TANA RIVER","TANA DELTA","SubCounty",42685,23781,2793,15128,11569,1244
"27","TANA RIVER","TANA NORTH","SubCounty",12552,9027,1304,9397,6085,891
"28","TANA RIVER","TANA RIVER","SubCounty",25812,19856,5392,10569,8687,891
"29","LAMU","LAMU","County",42542,33585,4009,18678,15431,1901
"30","LAMU","LAMU EAST","SubCounty",3206,2803,335,1831,1450,131
"31","LAMU","LAMU WEST","SubCounty",39336,30782,3674,16847,13981,1770
"32","TAITA/TAVETA","TAITA/TAVETA","County",125193,105987,17985,56920,49969,5481
"33","TAITA/TAVETA","MWATATE","SubCounty",30878,29709,923,16123,15172,639
"34","TAITA/TAVETA","TAITA","SubCounty",25390,15108,10052,12139,11195,829
"35","TAITA/TAVETA","TAVETA","SubCounty",45596,39836,5406,14591,10798,3165
"36","TAITA/TAVETA","VOI","SubCounty",23328,21335,1603,14067,12804,848
"37","GARISSA","GARISSA","County",151460,76172,9779,47645,23980,2751
"38","GARISSA","BALAMBALA","SubCounty",11535,4343,1494,1786,1212,158
"39","GARISSA","DADAAB","SubCounty",16843,7946,617,9315,3021,114
"40","GARISSA","FAFI","SubCounty",30933,12426,2022,6556,2520,694
"41","GARISSA","GARISSA","SubCounty",21651,9754,2458,3335,1815,494
"42","GARISSA","HULUGHO","SubCounty",37580,24462,1743,13731,8938,637
"43","GARISSA","IJARA","SubCounty",22267,11634,1182,8136,4251,432
"44","GARISSA","LAGDERA","SubCounty",10652,5605,263,4786,2223,222
"45","WAJIR","WAJIR","County",513445,413225,12489,63433,39205,2785
"46","WAJIR","BUNA","SubCounty",79063,75009,770,3425,2365,206
"47","WAJIR","ELDAS","SubCounty",66506,57884,2032,6975,4436,341
"48","WAJIR","HABASWEIN","SubCounty",109998,69034,4928,19731,12383,884
"49","WAJIR","TARBAJ","SubCounty",96060,93399,187,4598,2484,113
"50","WAJIR","WAJIR EAST","SubCounty",25136,18052,575,3113,1519,183
"51","WAJIR","WAJIR NORTH","SubCounty",66163,59646,934,5288,4187,104
"52","WAJIR","WAJIR SOUTH","SubCounty",22752,13859,1066,11735,7106,596
"53","WAJIR","WAJIR WEST","SubCounty",47766,26341,1996,8568,4725,358
"54","MANDERA","MANDERA","County",547731,414032,15528,62639,44434,1888
"55","MANDERA","MANDERA WEST","SubCounty",48617,37659,4639,8737,7153,363
"56","MANDERA","BANISA","SubCounty",124859,116030,1581,14983,12895,425
"57","MANDERA","KOTULO","SubCounty",121497,81789,388,6881,3744,128
"58","MANDERA","LAFEY","SubCounty",154947,112144,1625,7352,4868,128
"59","MANDERA","MANDERA CENTRAL","SubCounty",51293,32659,750,8042,4097,238
"60","MANDERA","MANDERA EAST","SubCounty",21901,16817,1804,7078,4632,417
"61","MANDERA","MANDERA NORTH","SubCounty",24618,16935,4742,9566,7045,189
"62","MARSABIT","MARSABIT","County",86529,60308,3985,39167,26702,1118
"63","MARSABIT","LOIYANGALANI","SubCounty",21564,13355,203,4891,3029,46
"64","MARSABIT","MARSABIT CENTRAL","SubCounty",8434,6895,826,4727,3832,364
"65","MARSABIT","MARSABIT NORTH","SubCounty",7496,5204,735,6193,3878,184
"66","MARSABIT","MARSABIT SOUTH","SubCounty",12566,10831,1174,8620,6214,283
"67","MARSABIT","MOYALE","SubCounty",7543,5337,796,3823,2375,158
"68","MARSABIT","NORTH HORR","SubCounty",23014,14319,203,7259,4791,50
"69","MARSABIT","SOLOLO","SubCounty",5912,4367,48,3654,2583,33
"70","ISIOLO","ISIOLO","County",117310,99708,2855,24271,16854,1549
"71","ISIOLO","GARBATULLA","SubCounty",21301,16641,644,9264,5395,363
"72","ISIOLO","ISIOLO","SubCounty",29649,24259,1897,8600,6765,985
"73","ISIOLO","MERTI","SubCounty",66359,58808,314,6407,4694,201
"74","MERU","MERU","County",361272,310827,45753,274865,238707,30109
"75","MERU","BUURI EAST","SubCounty",25239,15237,9775,18061,14591,3038
