"","AreaofTraining","Total","Male","Female","Intersex"
"1","Total",23954582,11999471,11954403,708
"2","Anthropology",4684,2674,2009,1
"3","Agriculture (Horticulture, Agribusiness Agric Economics Crop Sciences etc)",87144,57384,29760,NA
"4","Air craft Maintenance Pilot Steewardship Aviation (Air Traffic Controllers)",29122,17858,11264,NA
"5","Animal Health and Vetenary Sciences",27142,20170,6971,1
"6","Architecture and design (Quantity Surveying Structural Engineering etc)",63698,50827,12868,3
"7","Arts (Performing and Visual Arts)-Literature Performing arts Visual arts etc",41576,21647,19928,1
"8","Biology",18675,10478,8197,NA
"9","Business (Commerce Accounting Finance Marketing Administration Management Insurance Hotel
Management Tourism etc.)",779621,384905,394697,19
"10","Chemistry",15180,10082,5097,1
"11","Computer Science",120350,71221,49127,2
"12","Divinity and Pastoral Related (Theological Studies)",58009,43462,14546,1
"13","Earth Sciences (Geology and Meteorology)",7831,5383,2447,1
"14","Economics",44257,28308,15945,4
"15","Education (Science Arts Special Management Economics etc)",740605,309538,431055,12
"16","Engineering and technology (Civil Electrical and Electronics Mechanical Chemical Aeronautical Biosystems
etc)",307699,283514,24177,8
"17","Environmental Studies Marine Ecology and Forestry",21075,12625,8450,NA
"18","Family and Consumer Sciences-Home Economics Applied Human Nutrition Diatetrics etc",54312,16051,38259,2
"19","Geography",6262,3926,2334,2
"20","Health and Human Medicine (Clinical Officers Nurses Physiotherapist etc)",170159,57082,113076,1
"21","Health and Human Medicine (Dentists and Pharmacist)",33748,15347,18400,1
"22","Health and Human Medicine (Doctors)",28315,15818,12497,NA
"23","Health and Human Medicine (Laboratory Technologist Radiologists Anaesthesists etc )",47125,22691,24433,1
"24","History",22135,12916,9219,NA
"25","Human Physical Performance and recreation (Sports Science Sports Economics etc)",10064,5088,4976,NA
"26","Interdisciplinary Studies (Cultural Studies Gender Studies Organizational Studies-Project management
planning human resource mgt Development Studies) Demography Urban Planning etc",114973,48269,66696,8
"27","Journalism Media Studies and Communication (Public Relations Mass Communication Speech and Rhetoric
etc.)",87589,42942,44642,5
"28","Languages and Linguistics",28442,12522,15920,NA
"29","Law",33302,18468,14831,3
"30","Library Information Science and Museum Studies",48647,21590,27056,1
"31","Mathematics (Pure, Applied and Logic)",22843,16118,6725,NA
"32","Military Sciences",27727,24800,2923,4
"33","Philosophy",5713,3874,1838,1
"34","Physics",3838,3099,739,NA
"35","Political Science",10114,6628,3486,NA
"37","Psychology",19165,6748,12416,1
"38","Public Adminstration-Public Policy",48386,32193,16193,NA
"39","Religion",22944,15292,7652,NA
"40","Social Work",45964,14214,31748,2
"41","Sociology",22869,9612,13257,NA
"42","Space Sciences-Astronomy",1014,657,357,NA
"43","Statistics (Actuarial Biometry Biostatistics Social Statistics Financial Statistics etc)",33038,21732,11306,NA
"44","Systems Sciences (Computing etc)",71864,32139,39723,2
"45","Transportation-Logistics Management",15497,11627,3870,NA
"46","Vocational Training (Plant Motor Vehicle Plumbing Wiring Masonary Carpentry and Joinary Refrigeration and
Air Conditioning Hair dressing and related Tailoring Commercial Vehicle Drivers
etc.)",2651216,1595109,1056017,90
"47","Others",991910,510815,481059,36
"48","None ",16681302,7943606,8737213,483
"49","DK",173809,98872,74930,7
"50","Not Stated",53628,29550,24074,4
