"","County","SubCounty","AdminArea","Owned","Purchased_No.","Purchased_Perc","Constructed_No.","Constructed_Perc","Inherited_No.","Inherited_Perc"
"1","xxx","KENYA","xxx",7379485,206186,2.8,6931471,93.9,241828,3.3
"2","xxx","RURAL","xxx",6387020,104846,1.6,6131108,96,151066,2.4
"3","xxx","URBAN","xxx",992465,101340,10.2,800363,80.6,90762,9.1
"4","MOMBASA","MOMBASA","County",78346,8289,10.6,58291,74.4,11766,15
"5","MOMBASA","CHANGAMWE","SubCounty",4531,680,15,2362,52.1,1489,32.9
"6","MOMBASA","JOMVU","SubCounty",14021,649,4.6,12295,87.7,1077,7.7
"7","MOMBASA","KISAUNI","SubCounty",25407,2198,8.7,21294,83.8,1915,7.5
"8","MOMBASA","LIKONI","SubCounty",17401,1100,6.3,14321,82.3,1980,11.4
"9","MOMBASA","MVITA","SubCounty",6516,1536,23.6,1759,27,3221,49.4
"10","MOMBASA","NYALI","SubCounty",10470,2126,20.3,6260,59.8,2084,19.9
"11","KWALE","KWALE","County",133135,1324,1,128618,96.6,3193,2.4
"12","KWALE","KINANGO","SubCounty",14679,42,0.3,14577,99.3,60,0.4
"13","KWALE","LUNGALUNGA","SubCounty",33298,428,1.3,32344,97.1,526,1.6
"14","KWALE","MATUGA","SubCounty",32740,294,0.9,31484,96.2,962,2.9
"15","KWALE","MSAMBWENI","SubCounty",23263,451,1.9,21427,92.1,1385,6
"16","KWALE","SAMBURU-KWALE","SubCounty",29155,109,0.4,28786,98.7,260,0.9
"17","KILIFI","KILIFI","County",199451,3021,1.5,192187,96.4,4243,2.1
"18","KILIFI","CHONYI","SubCounty",11098,31,0.3,10993,99.1,74,0.7
"19","KILIFI","GANZE","SubCounty",21647,217,1,21296,98.4,134,0.6
"20","KILIFI","KALOLENI","SubCounty",27636,214,0.8,26980,97.6,442,1.6
"21","KILIFI","KAUMA","SubCounty",3311,14,0.4,3283,99.2,14,0.4
"22","KILIFI","KILIFI NORTH","SubCounty",23143,311,1.3,22324,96.5,508,2.2
"23","KILIFI","KILIFI SOUTH","SubCounty",23385,661,2.8,22013,94.1,711,3
"24","KILIFI","MAGARINI","SubCounty",28655,317,1.1,27977,97.6,361,1.3
"25","KILIFI","MALINDI","SubCounty",41731,1191,2.9,38867,93.1,1673,4
"26","KILIFI","RABAI","SubCounty",18845,65,0.3,18454,97.9,326,1.7
